Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
0,1377020,1378458,1380778,2.320000,0.000189,1135,-1.718122,4610.840000,12786.300000,8.229931,12.472173
1,1380778,1382980,1385071,2.090000,0.000125,1527,-0.907620,4615.360000,12831.400000,7.443502,12.757635
2,1385071,1387884,1389947,2.070000,0.000086,2813,-0.421027,4620.260000,12880.300000,6.879935,12.790355
3,1389947,1392036,1394573,2.540000,0.000142,1895,-1.135758,4624.410000,12921.700000,7.644597,13.307226
4,1394573,1397361,1399898,2.540000,0.000124,2647,-0.921653,4629.740000,12974.900000,7.196331,12.367758
5,1399898,1401598,1404311,2.710000,0.000122,1691,-0.897942,4633.980000,13017.200000,7.833143,13.215043
6,1404311,1406535,1409013,2.480000,0.000108,2224,-0.722210,4638.910000,13066.400000,7.400102,13.031922
7,1409013,1411943,1414845,2.900000,0.000141,1910,-1.158019,4644.320000,13120.000000,6.963070,14.340955
8,1414845,1416403,1418772,2.370000,0.000255,1050,-2.663846,4648.780000,13164.500000,7.381814,13.249879
9,1418772,1421985,1423847,1.870000,0.000118,3213,-0.863257,4654.360000,13218.800000,7.215528,13.699963
10,1423847,1426466,1428424,1.960000,0.000209,2401,-2.084253,4658.840000,13263.200000,6.804980,14.022011
11,1428424,1431147,1433012,1.860000,0.000172,2667,-1.595539,4663.530000,13310.000000,7.282120,13.813219
12,1433012,1435661,1437455,1.790000,0.000161,2649,-1.463277,4668.040000,13353.900000,7.067559,13.359846
13,1437455,1440141,1442115,1.970000,0.000204,2613,-2.033555,4672.520000,13398.400000,6.807130,13.011342
14,1442115,1444341,1446701,2.360000,0.000177,2010,-1.692781,4676.720000,13440.400000,7.491145,13.078416
15,1446701,1448238,1451068,2.830000,0.000160,1380,-1.459423,4680.620000,13479.200000,7.324018,14.334059
16,1451068,1453272,1456996,3.720000,0.000088,2204,-0.494301,4685.650000,13529.500000,7.390421,13.615494
17,1456996,1459153,1461011,1.860000,0.000223,2157,-2.343588,4691.530000,13588.000000,6.431480,13.308719
18,1461011,1464268,1465861,1.590000,0.000133,3257,-1.125070,4696.650000,13638.300000,6.782351,14.868599
19,1465861,1468638,1470616,1.970000,0.000225,2329,-2.384440,4701.020000,13681.400000,6.836563,13.772380
20,1470616,1472904,1474841,1.940000,0.000205,2236,-2.116517,4705.280000,13723.800000,6.715317,12.796638
21,1474841,1477259,1479470,2.210000,0.000161,2418,-1.530812,4709.640000,13767.300000,7.134096,14.141772
22,1541693,1565735,1567681,1.950000,0.000024,53,0.335174,4798.110000,13947.400000,-0.005659,332.151962
23,1567681,1569010,1570785,1.770000,0.001771,65,-24.047213,4801.390000,13979.900000,7.344904,45.049187
24,1570785,1572888,1574683,1.790000,0.000247,2103,-2.763953,4805.270000,14019.000000,7.221501,39.808842
25,1574683,1576760,1578695,1.930000,0.000212,1965,-2.294566,4809.140000,14058.000000,6.712013,37.502220
26,1578695,1580907,1582701,1.790000,0.000135,1965,-1.206222,4813.290000,14099.600000,7.839148,34.794556
27,1582701,1585739,1586682,0.940000,0.000154,2949,-1.491828,4818.120000,14147.600000,7.804201,30.093553
28,1586682,1589288,1591693,2.400000,0.000191,2606,-2.016104,4821.670000,14182.900000,6.837076,37.030727
29,1591693,1593719,1595448,1.730000,0.000227,1633,-2.537418,4826.100000,14227.100000,7.631258,31.826950
30,1595448,1597914,1599699,1.790000,0.000255,2192,-2.942614,4830.290000,14269.100000,7.241506,34.219472
31,1599699,1601724,1603677,1.960000,0.000215,1947,-2.388505,4834.100000,14306.900000,6.898091,32.098321
32,1603677,1605770,1607696,1.920000,0.000204,1986,-2.238915,4838.150000,14347.800000,7.416260,31.992991
33,1607696,1610756,1612680,1.930000,0.000086,2965,-0.545823,4843.130000,14397.400000,7.597233,31.160183
34,1612680,1614735,1616696,1.960000,0.000205,1925,-2.263271,4847.110000,14436.900000,7.346861,28.318466
35,1616696,1618755,1620695,1.940000,0.000169,1960,-1.759452,4851.130000,14477.100000,7.294720,29.007186
36,1620695,1623520,1625692,2.170000,0.000136,2825,-1.285497,4855.900000,14524.700000,7.727483,28.883049
37,1625692,1627736,1629824,2.090000,0.000136,1955,-1.293174,4860.110000,14566.800000,7.536289,30.338455
38,1630695,1636299,1638698,2.400000,0.001145,96,-16.017845,4868.680000,14652.300000,7.742381,36.483054
39,1638698,1640143,1641688,1.550000,0.001420,107,-20.157448,4872.520000,14689.100000,6.641076,33.519447
40,1641688,1644984,1646689,1.710000,0.001520,100,-21.655214,4877.360000,14736.700000,7.446269,38.263977
41,1646689,1649784,1651008,1.230000,0.000165,2964,-1.754960,4882.160000,14784.700000,7.754922,33.420649
42,1651008,1653956,1655829,1.880000,0.001355,139,-19.366749,4886.330000,14825.800000,6.992625,34.957122
43,1655829,1658757,1661698,2.940000,0.000147,1830,-1.501616,4891.140000,14874.500000,7.383055,27.592195
44,1661698,1663235,1665682,2.450000,0.001138,327,-16.266149,4895.610000,14918.100000,7.125075,40.653316
45,1665682,1666729,1668948,2.220000,0.001429,183,-20.663314,4899.110000,14953.900000,8.483577,39.529205
46,1668948,1671168,1672943,1.770000,0.000116,2220,-1.043473,4903.550000,14999.200000,nan,18.978849
47,1672943,1679844,1679954,0.110000,0.001228,199,-17.753552,4912.220000,15085.100000,0.000000,38.738792
48,1679954,1684652,1686469,1.820000,0.001573,518,-23.044091,4917.030000,15133.800000,11.180721,18.146230
49,1686469,1688343,1690755,2.410000,0.000206,1874,-2.428386,4920.720000,15169.600000,6.979145,13.692862
50,1690755,1693075,1695197,2.130000,0.000336,1501,-4.414125,4925.450000,15216.900000,6.778820,13.893271
51,1695197,1697608,1699912,2.300000,0.000181,986,-2.067681,4929.990000,15262.300000,7.251234,12.994638
52,1699912,1701889,1704200,2.310000,0.000388,1433,-5.239137,4934.270000,15304.500000,6.844240,13.788112
53,1704200,1706280,1708214,1.930000,0.000237,2080,-2.947334,4938.660000,15348.300000,6.957403,14.500736
54,1708214,1710788,1712503,1.710000,0.000366,2016,-4.946210,4943.170000,15393.300000,6.598500,14.848092
55,1712503,1714838,1716697,1.860000,0.000359,2092,-4.848959,4947.220000,15433.300000,6.190983,14.797444
56,1716697,1719394,1720987,1.600000,0.000335,2399,-4.491660,4951.770000,15478.800000,6.325082,14.690751
57,1720987,1723379,1725568,2.190000,0.000293,2392,-3.856633,4955.760000,15518.700000,6.122915,16.360618
58,1725568,1728239,1729891,1.650000,0.000452,1734,-6.340925,4960.620000,15567.100000,5.940557,17.011974
59,1729891,1732654,1734524,1.870000,0.000341,2666,-4.628216,4965.030000,15611.300000,6.099412,14.845609
60,1734524,1737038,1738685,1.640000,0.000340,2504,-4.635133,4969.420000,15655.100000,6.539475,15.013362
61,1738685,1741642,1743416,1.770000,0.000331,2831,-4.511666,4974.020000,15701.200000,6.737700,15.787099
62,1743416,1746215,1747834,1.620000,0.000276,2799,-3.648419,4978.590000,15746.800000,6.644694,15.186333
63,1747834,1750729,1752399,1.670000,0.000397,2674,-5.578317,4983.110000,15791.800000,5.846386,17.250449
64,1752399,1755493,1757228,1.740000,0.000401,2798,-5.653042,4987.870000,15839.200000,6.147346,16.921845
65,1757228,1760025,1761717,1.700000,0.000443,2698,-6.336395,4992.400000,15884.400000,5.920153,16.826901
66,1761717,1764807,1766861,2.050000,0.000362,2495,-5.079050,4997.190000,15931.100000,5.846927,16.093796
67,1766861,1769654,1771315,1.660000,0.000281,2793,-3.804673,5002.030000,15979.200000,6.121410,16.599916
68,1771315,1774135,1776246,2.110000,0.000441,2462,-6.370203,5006.510000,16023.900000,5.677665,15.508484
69,1776246,1779021,1780488,1.470000,0.000385,2000,-5.486077,5011.400000,16072.800000,6.197359,15.446366
70,1780488,1783472,1784825,1.350000,0.000277,2771,-3.774160,5015.850000,16117.200000,6.849987,15.229515
71,1784825,1787661,1789441,1.780000,0.000200,2583,-2.544016,5020.040000,16159.100000,7.286090,13.302898
72,1789441,1791900,1793174,1.270000,0.000179,2459,-2.209828,5024.280000,16201.400000,7.424965,14.030927
73,1793174,1796713,1798123,1.410000,0.000066,3537,-0.378570,5029.090000,16248.900000,7.816868,14.086739
74,1798123,1800068,1801895,1.820000,0.000087,1926,-0.723548,5032.450000,16282.000000,7.612509,13.798209
75,1801895,1804974,1807988,3.020000,0.000041,3074,0.010980,5037.350000,16329.700000,7.619565,12.330781
76,1807988,1809341,1811852,2.510000,0.000212,1160,-2.779332,5041.720000,16372.600000,7.941871,13.356462
77,1811852,1813799,1816218,2.420000,0.000274,1580,-3.802588,5046.180000,16416.700000,7.131487,14.157220
78,1816218,1818646,1820629,1.990000,0.000289,1960,-4.064523,5051.020000,16465.100000,6.443644,16.061493
79,1820629,1823243,1825085,1.840000,0.000309,2131,-4.413058,5055.620000,16510.500000,5.844627,16.056089
80,1825085,1828186,1829883,1.700000,0.000288,2821,-4.073504,5060.560000,16557.800000,5.960983,15.217060
81,1829883,1832888,1834443,1.550000,0.000252,2776,-3.485338,5065.270000,16602.700000,6.360570,15.009174
82,1834443,1837402,1839154,1.750000,0.000370,1999,-5.468099,5069.780000,16647.200000,6.086826,15.964002
83,1839154,1841811,1843280,1.470000,0.000379,2369,-5.636214,5074.190000,16691.100000,5.664389,20.514558
84,1843280,1846647,1848088,1.440000,0.000391,3246,-5.850202,5079.030000,16739.300000,5.929804,19.419863
85,1848088,1851596,1852913,1.320000,0.000437,3031,-6.646674,5083.970000,16788.700000,5.318954,19.941164
86,1852913,1856261,1857809,1.550000,0.000425,2873,-6.461947,5088.640000,16835.100000,5.412851,18.817044
87,1857809,1860948,1862438,1.490000,0.000398,2891,-6.017618,5093.330000,16881.700000,5.452587,19.975795
88,1862438,1865545,1867504,1.960000,0.000380,2479,-5.734163,5097.920000,16927.700000,5.878084,15.904722
89,1867504,1870459,1871829,1.370000,0.000340,2292,-5.071379,5102.840000,16977.000000,5.853147,17.956650
90,1871829,1874810,1876378,1.570000,0.000381,2867,-5.791751,5107.190000,17020.300000,5.953537,20.703079
91,1876378,1879389,1880866,1.470000,0.000463,2476,-7.200210,5111.770000,17066.000000,5.722898,21.124631
92,1880866,1884229,1885652,1.420000,0.000409,2941,-6.298325,5116.610000,17113.300000,5.527815,21.743266
93,1885652,1889090,1890578,1.490000,0.000418,3140,-6.473436,5121.470000,17159.400000,5.520090,18.622372
94,1890578,1893878,1895320,1.440000,0.000394,2626,-6.086243,5126.260000,17206.300000,6.028416,23.420864
95,1895320,1898715,1899979,1.270000,0.000517,2831,-8.223155,5131.090000,17254.000000,4.964825,32.011762
96,1899979,1904061,1905398,1.340000,0.000523,3520,-8.352323,5136.440000,17306.200000,5.076459,25.665481
97,1905398,1908978,1910429,1.450000,0.000494,2812,-7.880956,5141.360000,17355.000000,5.472083,23.629793
98,1910429,1913880,1915457,1.580000,0.000476,3170,-7.585099,5146.260000,17403.100000,5.042748,23.319189
99,1915457,1918807,1920197,1.390000,0.000453,2944,-7.218582,5151.190000,17451.200000,5.355342,25.610854
100,1920197,1923872,1925129,1.260000,0.000500,2962,-8.057030,5156.250000,17500.100000,4.576292,23.507983
101,1925129,1928670,1929809,1.140000,0.000493,2909,-7.956772,5161.050000,17548.100000,6.088547,26.682793
102,1929809,1933501,1934767,1.270000,0.000462,3468,-7.428373,5165.880000,17596.000000,5.652958,30.617823
103,1934767,1938643,1939790,1.150000,0.000516,3034,-8.402244,5171.020000,17647.600000,5.828593,22.408095
104,1939790,1943147,1944623,1.470000,0.000424,3165,-6.806549,5175.530000,17692.300000,5.464973,23.094443
105,1944623,1947969,1949392,1.420000,0.000466,2942,-7.568146,5180.350000,17740.700000,5.695055,23.640766
106,1949392,1952861,1953990,1.130000,0.000460,2706,-7.485588,5185.240000,17789.300000,6.319192,31.157906
107,1953990,1957739,1959115,1.370000,0.000529,3071,-8.733754,5190.120000,17838.100000,5.197746,33.386483
108,1959115,1963152,1964372,1.220000,0.000507,2829,-8.369289,5195.530000,17891.900000,5.003468,29.279398
109,1964372,1968156,1969492,1.340000,0.000496,3306,-8.205557,5200.530000,17942.100000,5.136353,23.824778
110,1969492,1973189,1974430,1.240000,0.000462,3266,-7.612318,5205.570000,17992.200000,5.568863,29.133018
111,1974430,1978122,1979343,1.220000,0.000478,3193,-7.920229,5210.500000,18041.500000,5.516738,27.132436
112,1979343,1982902,1984340,1.440000,0.000467,3142,-7.746733,5215.280000,18089.300000,5.409000,25.761655
113,1984340,1987869,1989055,1.180000,0.000507,2834,-8.507151,5220.250000,18139.000000,5.185543,28.036394
114,1989055,1992971,1994093,1.120000,0.000518,3202,-8.731811,5225.350000,18189.900000,4.885793,33.752880
115,1994093,1997855,1999270,1.420000,0.000533,3310,-9.025424,5230.230000,18238.600000,4.987113,31.248402
116,1999270,2002955,2004102,1.150000,0.000504,3214,-8.511528,5235.330000,18289.400000,5.353007,25.935998
117,2004102,2007662,2008906,1.240000,0.000488,3067,-8.253816,5240.040000,18336.600000,5.537148,25.917489
118,2008906,2012311,2013638,1.330000,0.000466,3162,-7.878170,5244.690000,18382.700000,6.258938,38.897981
119,2013638,2017641,2018737,1.100000,0.000540,3143,-9.261896,5250.020000,18436.000000,5.113790,44.582784
120,2018737,2022871,2023991,1.120000,0.000528,3544,-9.059357,5255.250000,18488.000000,5.494383,47.054888
121,2023991,2028223,2029451,1.230000,0.000553,3669,-9.554795,5260.600000,18541.400000,4.854612,30.426694
122,2029451,2033218,2034516,1.290000,0.000481,3225,-8.250538,5265.600000,18591.300000,5.265066,34.320612
123,2034516,2038304,2039442,1.140000,0.000526,3195,-9.115699,5270.680000,18642.000000,5.587324,41.952431
124,2039442,2043386,2044625,1.240000,0.000534,3681,-9.291639,5275.760000,18692.900000,5.051291,35.415205
125,2044625,2048493,2049657,1.170000,0.000519,3283,-9.027738,5280.870000,18743.800000,5.202013,36.416658
126,2049657,2053516,2054695,1.180000,0.000527,3239,-9.215550,5285.890000,18793.900000,5.019321,23.863051
127,2054695,2058234,2059477,1.250000,0.000480,3140,-8.354955,5290.610000,18841.200000,5.157454,28.647293
128,2059477,2063280,2064398,1.120000,0.000511,3516,-8.959434,5295.660000,18891.400000,5.511069,52.119866
129,2064398,2068629,2069793,1.160000,0.000597,3403,-10.616483,5301.010000,18944.700000,4.589984,34.989783
130,2069793,2073651,2074948,1.300000,0.000543,3278,-9.610748,5306.030000,18995.200000,5.496271,22.483911
131,2074948,2078571,2079691,1.120000,0.000453,3436,-7.923341,5310.950000,19043.100000,4.745393,41.248899
132,2079691,2083566,2084874,1.310000,0.000554,3460,-9.874170,5315.940000,19092.800000,5.046138,39.127428
133,2084874,2088856,2089936,1.080000,0.000548,3264,-9.792612,5321.230000,19144.600000,4.891672,47.465523
134,2089936,2094378,2095556,1.170000,0.000580,3929,-10.443324,5326.760000,19198.800000,4.328764,32.310829
135,2095556,2099344,2100922,1.580000,0.000495,3308,-8.837322,5331.720000,19248.200000,5.059198,26.865334
136,2100922,2104405,2105671,1.270000,0.000537,2710,-9.656423,5336.780000,19298.100000,5.045094,26.827948
