Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
60,827257,833749,834243,0.500000,0.000391,6013,-4.768574,5375.580000,13969.500000,0.000000,0.000000
61,834243,839962,840532,0.570000,0.000373,5521,-4.548632,5381.800000,14043.700000,0.000000,0.000000
62,840532,845803,846209,0.400000,0.000369,4989,-4.526106,5387.640000,14117.200000,0.000000,0.000000
63,846209,852512,852902,0.390000,0.000391,5864,-4.862139,5394.350000,14195.600000,0.000000,0.000000
64,852902,859447,859860,0.410000,0.000390,6175,-4.885082,5401.280000,14279.500000,0.000000,0.000000
65,859860,866755,867284,0.530000,0.000397,6316,-5.023263,5408.590000,14365.000000,0.000000,0.000000
66,867284,873344,873726,0.380000,0.000379,5689,-4.785921,5415.180000,14445.300000,0.000000,0.000000
67,873726,880009,880459,0.450000,0.000390,5746,-4.979862,5421.840000,14528.700000,0.000000,0.000000
68,880459,886650,887038,0.390000,0.000385,5710,-4.933410,5428.480000,14609.900000,0.000000,0.000000
69,887038,892998,893661,0.660000,0.000385,5782,-4.975684,5434.830000,14684.700000,0.000000,0.000000
70,893661,900351,900852,0.510000,0.000391,6350,-5.092700,5442.180000,14771.500000,0.000000,0.000000
71,900852,906968,907415,0.450000,0.000377,5930,-4.913347,5448.800000,14846.900000,0.000000,0.000000
72,907415,913852,914281,0.420000,0.000390,5756,-5.136066,5455.690000,14933.200000,0.000000,0.000000
73,914281,920351,920789,0.440000,0.000374,5697,-4.932428,5462.180000,15009.300000,0.000000,0.000000
74,920789,1008532,1017580,9.040000,0.000282,76282,-3.573563,5550.370000,15131.800000,0.000000,0.000000
75,1017580,1607736,1669716,6.190000,0.000360,21588,-4.791915,5637.860000,15237.000000,0.000000,0.000000
76,1669716,1764037,1769075,5.040000,0.000293,94321,-3.806598,5720.870000,15334.100000,0.000000,0.000000
77,1769075,1852546,1858869,6.320000,0.000343,73986,-4.600513,5809.380000,15443.500000,0.000000,0.000000
78,1858869,1943028,1947876,4.850000,0.000345,74199,-4.675105,5899.860000,15547.900000,0.000000,0.000000
79,1947876,2034029,2041067,7.040000,0.000358,76290,-4.913856,5990.860000,15657.900000,0.000000,0.000000
80,2041067,2124457,2143268,18.810000,0.000367,83116,-5.098298,6081.290000,15773.800000,0.000000,0.000000
81,2143268,2223528,2228171,4.640000,0.000359,69806,-5.017329,6180.360000,15890.000000,0.000000,0.000000
82,2228171,2309040,2313833,4.800000,0.000359,71905,-5.046526,6265.870000,15988.900000,0.000000,0.000000
83,2313833,2400540,2406805,6.270000,0.000366,76742,-5.193865,6357.370000,16096.300000,0.000000,0.000000
84,2406805,2485039,2490566,5.530000,0.000361,68778,-5.164149,6441.870000,16202.300000,0.000000,0.000000
85,2490566,2577043,2581906,4.860000,0.000369,74613,-5.334613,6533.880000,16310.900000,0.000000,0.000000
86,2581906,2669532,2675593,6.060000,0.000370,78678,-5.378600,6626.370000,16419.500000,0.000000,0.000000
87,2675593,2762547,2769336,6.790000,0.000374,78092,-5.493795,6719.380000,16532.600000,0.000000,0.000000
88,2769336,2855544,2859063,3.520000,0.000375,73363,-5.553987,6812.380000,16643.300000,0.000000,0.000000
89,2859063,2943557,2948552,5.000000,0.000375,73687,-5.589112,6900.390000,16753.500000,0.000000,0.000000
90,2948552,3037050,3041884,4.840000,0.000378,78158,-5.684397,6993.880000,16863.900000,0.000000,0.000000
91,3041884,3129557,3133681,4.120000,0.000380,76205,-5.765825,7086.390000,16974.400000,0.000000,0.000000
