Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,30953,60970,1438.92,1.729057e-04,0.195550,9.552803e-01,0.000000e+00,7.592726e-07,stable
U,95282,108905,5457.68,6.652288e-04,-3.194224,9.998929e-01,0.000000e+00,2.468152e-07,stable
L,108905,122689,5260.98,6.550820e-04,-3.008566,9.999699e-01,0.000000e+00,1.273583e-07,stable
U,172413,185974,11513.34,7.115403e-04,-7.755387,9.999090e-01,0.000000e+00,2.509243e-07,stable
L,186974,198712,11332.22,7.008169e-04,-7.504230,9.999822e-01,0.000000e+00,1.082022e-07,stable
U,246260,259304,17578.05,7.332228e-04,-12.452076,9.999122e-01,0.000000e+00,2.574383e-07,slow
L,259304,273393,17434.21,7.006210e-04,-11.777441,9.999797e-01,0.000000e+00,1.157488e-07,slow
U,331386,341988,23521.00,7.644572e-04,-17.544026,9.999174e-01,0.000000e+00,2.657993e-07,slow
L,341988,353910,23403.94,7.176450e-04,-16.358521,9.999703e-01,0.000000e+00,1.452765e-07,slow
U,402761,414294,29548.93,7.879913e-04,-22.847656,9.999037e-01,0.000000e+00,3.005835e-07,slow
L,414294,426082,29426.99,7.241029e-04,-20.871505,9.999650e-01,0.000000e+00,1.599741e-07,slow
U,459092,472085,35628.41,7.833187e-04,-27.471733,9.998944e-01,0.000000e+00,3.123332e-07,slow
L,472085,485393,35500.10,7.120491e-04,-24.840617,9.999752e-01,0.000000e+00,1.314583e-07,slow
U,505187,517723,38134.83,7.827463e-04,-29.413798,9.998258e-01,0.000000e+00,4.002487e-07,slow
