Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,23020,37699,1493.47,2.730424e-04,0.024959,9.990900e-01,0.000000e+00,2.005298e-07,stable
U,74922,87883,5288.89,5.392903e-04,-2.415320,9.998135e-01,0.000000e+00,2.359523e-07,stable
L,90156,105554,5130.06,4.910599e-04,-2.081810,9.999801e-01,0.000000e+00,6.713979e-08,stable
U,153650,166139,11357.44,5.590321e-04,-5.912897,9.997105e-01,0.000000e+00,3.131648e-07,stable
L,168488,182873,11201.85,5.215733e-04,-5.404931,9.999663e-01,0.000000e+00,9.570567e-08,stable
U,231325,244376,17416.16,5.752604e-04,-9.582655,9.998697e-01,0.000000e+00,2.177581e-07,slow
L,246229,260099,17253.35,5.467343e-04,-8.995393,9.999186e-01,0.000000e+00,1.601773e-07,slow
U,1048419,1170543,23293.86,5.914671e-04,-13.340633,9.989238e-01,0.000000e+00,2.066297e-07,slow
L,1207895,1343631,23119.18,5.770433e-04,-12.903420,9.990745e-01,0.000000e+00,1.849757e-07,slow
U,2038032,2157491,29348.24,6.166534e-04,-17.661180,9.989032e-01,0.000000e+00,2.223547e-07,slow
L,2203783,2337412,29175.72,6.074226e-04,-17.284601,9.990749e-01,0.000000e+00,1.997820e-07,slow
U,3450152,3462612,35358.52,6.151566e-04,-21.314396,9.997392e-01,0.000000e+00,3.401448e-07,slow
L,3464693,3478221,35182.70,6.129476e-04,-21.127871,9.998978e-01,0.000000e+00,2.133553e-07,slow
U,3513949,3525963,39761.46,6.381697e-04,-24.937677,9.999024e-01,0.000000e+00,2.202803e-07,slow
L,3529084,3542500,39607.29,6.326285e-04,-24.619221,9.999752e-01,0.000000e+00,1.099717e-07,slow
U,3548490,3560483,40575.61,6.459011e-04,-25.771077,9.999340e-01,0.000000e+00,1.848755e-07,slow
