Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
102,1894052,1900277,1901342,1.070000,0.000645,3366,-10.739964,3941.720000,17758.100000,5.189101,568.235927
103,1901342,1907878,1908874,1.000000,0.000655,3312,-10.974900,3949.320000,17833.800000,1.672733,569.774197
104,1908874,1915549,1916445,0.900000,0.000661,3428,-11.118196,3956.990000,17910.400000,4.766628,734.155717
105,1916445,1923569,1924393,0.830000,0.000658,3872,-11.124580,3965.010000,17990.300000,3.208654,681.172081
106,1924393,1931135,1931962,0.830000,0.000658,3694,-11.169231,3972.580000,18065.900000,0.683322,800.188491
107,1931962,1939113,1939985,0.870000,0.000653,4159,-11.136663,3980.560000,18145.500000,5.225486,805.806084
108,1939985,1946835,1947753,0.920000,0.000627,4975,-10.721985,3988.280000,18222.700000,4.418215,824.064474
109,1947753,1954582,1955509,0.920000,0.000660,3730,-11.355592,3996.030000,18300.300000,0.001944,601.703578
110,1955509,1962203,1963144,0.940000,0.000647,4169,-11.182304,4003.650000,18376.100000,2.763603,779.891927
111,1963144,1970111,1971017,0.900000,0.000666,3739,-11.576916,4011.560000,18455.000000,2.332415,712.347702
112,1971017,1977866,1978749,0.880000,0.000646,4185,-11.265110,4019.310000,18532.400000,3.055179,795.690420
113,1978749,1985717,1986614,0.900000,0.000650,3906,-11.391346,4027.160000,18611.100000,3.511990,768.214995
114,1986614,1993509,1994298,0.790000,0.000671,3784,-11.816538,4034.950000,18688.200000,0.435542,951.238785
115,1994298,2001362,2002187,0.820000,0.000666,4266,-11.784978,4042.810000,18767.000000,1.825596,1113.831233
116,2002187,2009559,2010618,1.060000,0.000652,5059,-11.571911,4051.000000,18848.800000,3.588520,794.964108
117,2010618,2017380,2018245,0.870000,0.000637,4628,-11.335443,4058.820000,18926.700000,2.785933,754.142888
118,2018245,2025158,2026218,1.060000,0.000661,3754,-11.846249,4066.600000,19004.200000,3.161099,456.115345
119,2026218,2032509,2033462,0.960000,0.000632,4259,-11.339244,4073.950000,19077.700000,4.476375,831.255768
120,2033462,2040599,2041334,0.740000,0.000659,4137,-11.915941,4082.040000,19158.200000,5.607281,610.316873
121,2041334,2048102,2048707,0.600000,0.000682,3159,-12.410966,4089.550000,19233.200000,2.154523,1033.136842
122,2048707,2055982,2056687,0.700000,0.000731,2860,-13.408692,4097.430000,19311.800000,2.576073,590.818383
123,2056687,2063261,2063965,0.700000,0.000756,1432,-13.936109,4104.710000,19384.500000,3.763910,674.666043
124,2063965,2070867,2071532,0.670000,0.000678,3850,-12.472022,4112.310000,19460.400000,2.110812,779.255201
125,2071532,2078563,2079188,0.620000,0.000734,2507,-13.624521,4120.010000,19537.100000,4.172514,638.459290
126,2079188,2086034,2086629,0.590000,0.000727,2374,-13.532142,4127.480000,19611.600000,1.394350,692.345797
127,2086629,2093564,2094193,0.630000,0.000719,2694,-13.431923,4135.010000,19686.900000,4.189423,729.149177
128,2094193,2101187,2101835,0.650000,0.000717,2784,-13.455654,4142.630000,19762.700000,0.325346,741.009117
129,2101835,2108760,2109423,0.670000,0.000698,3236,-13.123246,4150.200000,19838.100000,6.553061,831.996674
130,2109423,2116580,2117205,0.630000,0.000706,3826,-13.350132,4158.020000,19916.500000,0.763396,892.963554
131,2117205,2124257,2125014,0.760000,0.000742,2378,-14.118656,4165.700000,19993.300000,2.352773,805.684265
132,2125014,2131990,2132747,0.760000,0.000715,2966,-13.641641,4173.430000,20070.000000,0.165824,702.727744
133,2132747,2139501,2140118,0.610000,0.000701,2800,-13.399869,4180.950000,20145.300000,1.598507,792.426703
134,2140118,2147208,2147786,0.580000,0.000710,2983,-13.634666,4188.650000,20222.000000,1.296830,954.166814
135,2147786,2155021,2155603,0.580000,0.000745,2543,-14.399518,4196.470000,20299.900000,1.885377,1093.208269
136,2155603,2163052,2163705,0.650000,0.000713,3637,-13.814192,4204.500000,20380.000000,8.184153,991.128979
137,2163705,2170952,2171627,0.670000,0.000711,3489,-13.825170,4212.400000,20458.900000,2.409001,911.496979
138,2171627,2178684,2179524,0.840000,0.000735,2941,-14.374251,4220.130000,20536.100000,0.010694,741.678954
139,2179524,2186329,2187128,0.800000,0.000679,4184,-13.276835,4227.770000,20612.800000,3.198469,717.412337
140,2187128,2194157,2194809,0.650000,0.000709,3059,-13.949048,4235.600000,20690.600000,1.637655,821.732283
141,2194809,2201995,2202559,0.560000,0.000811,1221,-16.129290,4243.440000,20768.700000,2.903522,729.154646
142,2202559,2209547,2210356,0.810000,0.000742,1987,-14.751827,4250.990000,20844.200000,3.900318,639.978451
143,2210356,2217009,2217563,0.560000,0.000659,4085,-13.065430,4258.450000,20918.500000,5.093597,852.050036
144,2217563,2224852,2225612,0.760000,0.000726,2942,-14.529094,4266.300000,20997.000000,7.803822,1034.720298
145,2225612,2232990,2233728,0.740000,0.000682,4562,-13.651794,4274.430000,21078.100000,6.093887,893.524911
146,2233728,2240776,2241529,0.750000,0.000694,3610,-13.969443,4282.220000,21155.800000,4.578911,549.405456
