RowNumber Stress
935474.5113 8.9093
941645.4104 8.8998
948830.7038 8.8927
956100.5300 8.8863
963539.4220 8.8816
970471.1168 8.8753
976726.5487 8.8697
983742.7764 8.8666
990082.7411 8.8610
996676.3045 8.8555
1003523.4664 8.8500
1009863.4312 8.8452
1016541.5274 8.8405
1023135.0907 8.8342
1029982.2527 8.8302
1036322.2174 8.8270
1043338.4451 8.8183
1049593.8770 8.8223
1056948.2361 8.8128
1064218.0624 8.8112
1071656.9544 8.8033
1079095.8463 8.7938
1087041.9355 8.7891
1095579.7547 8.7867
1104371.1725 8.7772
1112655.3931 8.7772
1121024.1466 8.7756
1129801.5344 8.7747
1139022.7919 8.7700
1148702.2486 8.7980
1156548.9087 8.7738
1165999.2658 8.7714
1175392.3480 8.7628
1184155.4064 8.7605
1193548.4886 8.7464
1204258.8933 8.7527
1213881.0750 8.7410
1224018.7308 8.7456
1233308.0802 8.7316
1243113.5046 8.7230
1253893.7372 8.7308
1262818.2160 8.7229
1273230.1080 8.7300
1283413.1672 8.7292
1293596.2264 8.7292
1303092.7872 8.7308
1313161.4300 8.7339
1322272.1817 8.7182
1332066.2398 8.7158
1342555.8189 8.7213
1351894.3395 8.7063
1361154.3145 8.7110
1371607.2925 8.6983
1381367.1764 8.7078
1391488.8239 8.7007
1401384.2893 8.7094
1410827.3906 8.6928
1421243.8952 8.6959
1430924.4511 8.6832
1440548.3955 8.6785
1450228.9514 8.6348
1550282.8191 8.7075
1559907.6757 8.6844
1569614.7961 8.6980
1579113.0190 8.6872
1589020.6482 8.6993
1599092.0398 8.6872
1608999.6689 8.6912
1617842.8420 8.6737
1627820.7201 8.6858
1637553.2405 8.6831
1646795.0457 8.6695
1655791.4931 8.6628
1665851.1571 8.6736
1676552.6323 8.6763
1685701.9851 8.6695
1695575.0437 8.6654
1706414.6118 8.6818
1716357.6742 8.6818
1726127.7433 8.6694
1736322.7131 8.6667
1746585.9932 8.6625
1756207.8183 8.6680
1766281.5421 8.6667
1777457.0795 8.6694
1787269.9605 8.6544
1797203.8182 8.6855
1808366.3947 8.6760
1818022.3210 8.6733
1830072.9170 8.6801
1840655.8122 8.6815
1851612.1715 8.6666
1861334.0114 8.6679
1871406.3702 8.6625
1883016.4937 8.6707
1892769.9290 8.6434
1902907.3577 8.6475
1914413.7489 8.6434
1925613.3030 8.6598
1934358.1603 8.6462
1944944.0402 8.6557
1955836.7572 8.6544
1966499.3463 8.6598
1976931.8077 8.6612
1989497.4795 8.6639
1999611.3130 8.6708
2010402.9704 8.6721
2020878.4251 8.6831
2031229.6162 8.6735
2041354.1389 8.6776
2052083.1107 8.6721
2063189.8632 8.6444
2072936.6052 8.6569
2085176.6999 8.6763
2095138.4968 8.6596
2106760.5931 8.6652
2119061.9029 8.6583
2129289.7596 8.6817
2140871.3032 8.6707
2151324.7743 8.6596
2161690.9557 8.6707
2172295.6466 8.6583
2183471.7115 8.6583
2195974.3285 8.6569
2206160.9148 8.6665
2217602.3704 8.6610
2228822.3786 8.6692
2240871.8888 8.6665
2251451.9466 8.6583
2262693.2580 8.6583
2272538.5896 8.6719
2284266.8476 8.6473
2294883.2048 8.6596
2305499.5621 8.6569
2315884.1641 8.6391
2326888.4137 8.6459
2338111.2908 8.6500
2349064.3743 8.6542
2358421.6443 8.5677
2674610.3257 8.6912
2684765.5024 8.6734
2694993.2161 8.6665
2704495.5601 8.6459
2715956.4024 8.6363
2726849.6335 8.6185
2737016.6493 8.6143
2748490.8527 8.6474
2758585.2469 8.6336
2769115.3703 8.6322
2780635.3196 8.6433
2791648.1012 8.6350
2803530.3130 8.6600
2814108.3796 8.6697
2826135.4965 8.6655
2836568.6581 8.6474
2847219.1772 8.6488
2857290.0762 8.6530
2867783.4571 8.6572
2877830.9156 8.6488
2888805.2706 8.6390
2898841.0294 8.6488
2909369.9115 8.6530
2919682.4467 8.6516
