RowNumber Stress
3718045.3512 8.0229
3727744.4335 8.0335
3737133.1451 8.0239
3748008.9120 8.0229
3757441.9348 8.0186
3767030.8754 8.0154
3776798.7027 8.0100
3786969.2080 8.0261
3797765.5906 8.0251
3806136.6988 8.0337
3817246.0200 8.0251
3826947.1174 8.0358
3836906.3378 8.0120
3847100.8154 7.9968
3856679.2089 8.0033
3866347.4879 8.0239
3876420.6369 8.0163
3885954.1261 8.0185
3895814.3719 8.0207
3905201.3259 8.0326
3914509.3979 8.0326
3924132.9978 8.0207
3933767.9327 8.0207
3942929.0182 8.0066
3952800.8777 8.0163
3962909.6617 8.0174
3972250.6623 8.0066
3982699.9172 8.0120
3991190.1112 8.0174
4001184.5637 8.0293
4011493.8021 8.0196
4021252.1651 8.0174
4030459.6528 8.0153
4040442.3475 8.0163
4050346.4382 8.0163
4060227.2395 8.0163
4069167.0122 8.0076
4078577.2991 7.9935
4088614.9386 7.9891
4098887.8352 8.0011
4258708.3493 8.0329
4268611.5499 8.0251
4277910.8968 8.0002
4287572.5559 8.0185
4297475.7565 8.0146
4307620.4986 8.0146
4317523.6992 8.0172
4327426.8998 8.0146
4336726.2467 8.0041
4346991.7595 8.0185
4356492.7690 7.9988
4366566.9381 8.0198
4376761.0378 8.0132
4386475.4152 8.0054
4396309.7232 8.0106
4406503.8229 8.0171
4416338.1308 8.0132
4426772.0917 8.0237
4436846.2608 8.0276
4445481.2629 8.0276
4454822.7969 8.0171
4464510.0860 8.0145
4473001.4135 8.0067
4483033.4747 8.0041
4493184.9652 8.0106
4503189.0523 7.9962
4513207.1167 8.0001
4522774.8097 8.0014
4532701.2911 8.0106
4542282.3516 8.0119
4551264.5958 8.0080
4561444.4726 8.0067
4570905.7699 8.0054
4580446.7836 7.9870
4590239.9862 8.0001
4599992.2553 8.0027
4609387.7341 8.0132
4619140.0032 8.0119
4628892.2723 8.0119
4638168.8209 8.0066
4647788.7194 8.0132
4657276.5976 8.0093
4667357.4682 7.9987
4678134.8719 8.0133
4687846.3786 8.0146
4697321.0192 8.0159
4705848.1958 8.0040
4715727.3615 8.0000
4725827.6339 8.0040
4735458.1261 8.0093
4744840.6194 8.0067
4754692.2374 8.0107
4763840.1684 8.0067
4773898.2237 8.0120
4783708.6640 8.0067
4792467.9858 8.0120
4802512.0080 8.0160
4812556.0302 8.0186
4821511.3454 8.0226
4831397.0829 8.0106
4841166.5177 8.0093
4849980.8827 8.0026
4860186.9896 8.0000
4869697.2256 8.0093
4879180.9426 8.0173
4889358.5900 8.0173
4898598.0878 8.0226
4908530.5479 8.0093
