Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,37579,83459,1873.91,1.799913e-04,0.101635,9.959970e-01,0.000000e+00,2.181508e-07,stable
U,84596,102340,5081.21,3.736019e-04,-1.461601,9.999596e-01,0.000000e+00,6.362390e-08,stable
L,114386,134917,4922.38,3.507854e-04,-1.288909,9.999863e-01,0.000000e+00,3.372916e-08,stable
U,305421,475302,11586.44,3.795666e-04,-3.961021,9.996726e-01,0.000000e+00,5.870473e-08,slow
L,506720,701833,11425.53,3.587203e-04,-3.660973,9.997625e-01,0.000000e+00,4.583012e-08,slow
U,3757797,3933358,17154.58,3.944636e-04,-6.329881,9.996537e-01,0.000000e+00,6.402351e-08,slow
L,3957469,4145933,16964.39,3.751377e-04,-5.926475,9.997507e-01,0.000000e+00,5.012404e-08,slow
U,4657634,4827335,23402.52,4.087314e-04,-9.128690,9.994938e-01,0.000000e+00,8.144621e-08,slow
L,4841671,5027433,23216.34,3.939413e-04,-8.708388,9.995839e-01,0.000000e+00,6.986264e-08,slow
U,5261509,5430827,29261.56,4.283556e-04,-12.097537,9.995031e-01,0.000000e+00,8.643507e-08,fast
L,5477966,5660632,29066.57,4.118176e-04,-11.532861,9.995926e-01,0.000000e+00,7.386195e-08,fast
U,5958829,6132317,35319.32,4.241164e-04,-14.542782,9.995391e-01,0.000000e+00,8.222464e-08,fast
L,6169060,6356512,35113.19,4.061617e-04,-13.824350,9.996351e-01,0.000000e+00,6.841888e-08,fast
U,7343962,7508601,40309.68,4.379040e-04,-17.215235,9.995186e-01,0.000000e+00,8.817285e-08,fast
L,7532749,7714674,40118.46,4.200578e-04,-16.414500,9.996222e-01,0.000000e+00,7.326312e-08,fast
U,7759448,7909169,40975.86,4.406097e-04,-17.617826,9.995146e-01,0.000000e+00,8.933641e-08,fast
