Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,19643,51004,1001.87,4.068110e-04,0.032975,9.992037e-01,0.000000e+00,3.199321e-07,stable
U,69762,74433,5848.51,1.711248e-03,-9.573389,9.993645e-01,0.000000e+00,2.496054e-06,stable
L,77928,83038,5753.34,1.842567e-03,-10.162705,9.998679e-01,0.000000e+00,1.266769e-06,stable
U,147170,151223,11900.27,1.927432e-03,-22.501165,9.997368e-01,0.000000e+00,1.906977e-06,stable
L,154549,159135,11829.51,1.982279e-03,-23.011369,9.998561e-01,0.000000e+00,1.459679e-06,stable
U,321630,325567,17932.54,1.958554e-03,-34.685921,9.995894e-01,0.000000e+00,2.431922e-06,stable
L,328069,332184,17859.32,2.026576e-03,-35.756231,9.998806e-01,0.000000e+00,1.380044e-06,stable
U,405520,409298,23897.14,2.006595e-03,-47.515949,9.997346e-01,0.000000e+00,2.031646e-06,stable
L,411220,415294,23839.01,2.043064e-03,-48.267332,9.999540e-01,0.000000e+00,8.705820e-07,stable
U,467280,470969,29941.78,2.102837e-03,-62.526646,9.997089e-01,0.000000e+00,2.288049e-06,stable
L,475990,479995,29893.19,2.094588e-03,-62.176698,9.999375e-01,0.000000e+00,1.048127e-06,stable
U,544650,548403,35987.64,2.102650e-03,-75.233388,9.997535e-01,0.000000e+00,2.107253e-06,stable
L,552930,557057,35950.19,2.049355e-03,-73.237672,9.999184e-01,0.000000e+00,1.168366e-06,stable
U,591166,594799,39249.20,2.159606e-03,-84.326775,9.997511e-01,0.000000e+00,2.199769e-06,stable
