MaxFrictionRow,MinFrictionRow
5532655,5533100
5542102,5542507
5552168,5552597
5561626,5562196
5571005,5571408
5580744,5581385
5590757,5591222
5600839,5601312
5609985,5610493
5620458,5620949
5630084,5630506
5639632,5640076
5648967,5649509
5658387,5658790
