Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,292247,310055,618.27,9.280171e-04,-0.136395,9.996856e-01,0.000000e+00,6.863894e-07,stable
U,350377,355110,5994.34,3.731705e-03,-21.932258,9.995768e-01,0.000000e+00,6.489797e-06,stable
L,355110,360109,5961.58,3.865239e-03,-22.607230,9.996961e-01,0.000000e+00,5.844110e-06,stable
U,414464,418852,12044.12,3.926647e-03,-46.857035,9.996317e-01,0.000000e+00,6.536435e-06,stable
L,418852,423459,12018.77,3.732697e-03,-44.424696,9.998555e-01,0.000000e+00,3.772533e-06,stable
U,478464,482500,18087.04,4.100530e-03,-73.729047,9.998473e-01,0.000000e+00,4.523672e-06,stable
L,482500,487490,18056.39,3.736477e-03,-67.028493,9.998993e-01,0.000000e+00,3.180972e-06,stable
U,548259,553660,24068.79,4.201254e-03,-100.683273,9.996937e-01,0.000000e+00,6.617914e-06,stable
L,553660,559265,24024.36,3.868978e-03,-92.511479,9.997438e-01,0.000000e+00,5.391677e-06,stable
U,614406,618783,30110.96,4.373489e-03,-131.255727,9.997167e-01,0.000000e+00,6.764277e-06,stable
L,618783,623160,30070.11,4.147497e-03,-124.278545,9.998394e-01,0.000000e+00,4.655965e-06,stable
U,675387,679782,36163.15,4.342601e-03,-156.604728,9.996780e-01,0.000000e+00,7.130247e-06,stable
L,679782,684012,36119.79,4.116207e-03,-148.242637,9.998709e-01,0.000000e+00,4.270077e-06,stable
U,737409,742252,42053.76,4.460904e-03,-187.162135,9.992237e-01,0.000000e+00,1.154707e-05,stable
L,742252,747970,42012.18,4.191651e-03,-175.664326,9.996461e-01,0.000000e+00,7.214882e-06,stable
U,752374,755026,42619.38,4.530192e-03,-192.636945,9.993196e-01,0.000000e+00,1.102472e-05,stable
