Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
0,1136685,1140361,1143719,3.360000,0.000033,3676,0.366826,6805.170000,9631.760000,9.688555,15.029644
1,1143719,1146646,1150127,3.490000,0.000035,2927,0.348386,6811.450000,9693.870000,9.234054,14.169960
2,1150127,1153668,1156615,2.940000,0.000036,3541,0.334934,6818.480000,9763.350000,9.162829,14.851779
3,1156615,1159430,1163395,3.960000,0.000044,2815,0.258442,6824.240000,9820.370000,8.574795,18.359684
4,1163395,1166824,1169563,2.740000,0.000049,2584,0.208550,6831.630000,9892.880000,9.027581,14.179842
5,1169563,1172768,1176493,3.720000,0.000049,3205,0.203631,6837.580000,9951.970000,9.145636,14.416996
6,1176493,1179041,1182631,3.590000,0.000076,1973,-0.073799,6843.850000,10014.600000,9.032819,15.978261
7,1182631,1185792,1188364,2.570000,0.000068,3161,-0.002385,6850.600000,10081.000000,8.528238,16.017787
8,1188364,1191708,1195118,3.410000,0.000079,3344,-0.109308,6856.520000,10140.000000,8.625641,15.583004
9,1195118,1198028,1201135,3.100000,0.000109,2910,-0.425431,6862.840000,10203.000000,8.655205,16.007905
10,1201135,1205029,1207647,2.620000,0.000114,3278,-0.482891,6869.840000,10272.900000,8.000987,16.324111
11,1207647,1211359,1213759,2.400000,0.000135,3362,-0.708822,6876.170000,10336.100000,8.649421,16.739130
12,1213759,1217649,1220328,2.680000,0.000152,3258,-0.890923,6882.460000,10398.400000,7.486516,16.887352
13,1220328,1224654,1226961,2.310000,0.000152,4326,-0.904879,6889.460000,10466.800000,7.323504,21.274704
14,1226961,1231529,1233550,2.020000,0.000213,3699,-1.554360,6896.340000,10534.700000,7.387166,25.988142
15,1233550,1238529,1240474,1.940000,0.000244,4451,-1.892038,6903.340000,10603.800000,6.365801,40.484190
16,1240474,1246277,1247790,1.510000,0.000285,4582,-2.351026,6911.090000,10681.100000,5.782803,80.642292
17,1247790,1254558,1256199,1.640000,0.000319,4142,-2.736739,6919.370000,10763.700000,6.412298,83.982213
18,1256199,1262941,1264104,1.160000,0.000312,4388,-2.692208,6927.750000,10847.500000,5.468911,142.420949
19,1264104,1271401,1272869,1.470000,0.000349,3895,-3.114067,6936.210000,10931.900000,6.455957,192.015810
20,1272869,1280909,1282352,1.440000,0.000356,4211,-3.221300,6945.720000,11026.800000,5.225160,122.954545
21,1282352,1289679,1290854,1.170000,0.000330,4950,-2.974964,6954.490000,11114.300000,6.250353,358.626482
22,1290854,1299614,1300836,1.220000,0.000384,4191,-3.603090,6964.420000,11213.400000,5.057123,304.881423
23,1300836,1309418,1310372,0.950000,0.000378,3633,-3.573222,6974.230000,11311.300000,5.892183,522.312253
24,1310372,1319562,1320652,1.090000,0.000391,4747,-3.753552,6984.370000,11411.600000,5.886988,601.551383
25,1320652,1330033,1331050,1.020000,0.000458,1844,-4.564986,6994.840000,11515.300000,6.119071,711.679842
26,1331050,1340851,1341698,0.850000,0.000428,3233,-4.261435,7005.660000,11623.400000,4.795455,541.749012
27,1341698,1350758,1351626,0.860000,0.000410,3278,-4.101082,7015.570000,11722.100000,6.284232,748.142292
28,1351626,1361296,1362106,0.810000,0.000425,3720,-4.319592,7026.100000,11827.300000,5.161590,944.367589
29,1362106,1372028,1373052,1.020000,0.000429,3711,-4.411543,7036.840000,11934.300000,6.155303,879.347826
30,1373052,1382830,1383778,0.950000,0.000444,3123,-4.632673,7047.640000,12042.300000,5.931524,694.960474
31,1383778,1393178,1394131,0.950000,0.000423,3707,-4.428515,7057.990000,12145.600000,5.206750,1071.640316
32,1394131,1404111,1405269,1.160000,0.000448,3381,-4.782239,7068.920000,12254.700000,5.701581,939.328063
33,1405269,1414731,1415937,1.210000,0.000468,2420,-5.071081,7079.540000,12360.600000,3.656126,1202.173913
34,1415937,1426208,1427245,1.030000,0.000490,2121,-5.394789,7091.020000,12475.100000,5.286561,1173.122530
35,1427245,1437663,1438555,0.890000,0.000469,2892,-5.193615,7102.470000,12588.300000,4.529852,982.312253
36,1438555,1448197,1449445,1.240000,0.000495,1983,-5.568595,7113.010000,12692.500000,4.841897,1247.233202
37,1449445,1459602,1460656,1.050000,0.000473,2747,-5.351185,7124.410000,12806.500000,8.656126,1041.699605
38,1460656,1470381,1471241,0.860000,0.000426,5410,-4.796998,7135.190000,12916.700000,0.510540,1135.375494
39,1471241,1480929,1482049,1.120000,0.000437,4262,-4.978930,7145.740000,13022.100000,1.449275,1095.256917
40,1482049,1491879,1493013,1.130000,0.000404,6092,-4.605114,7156.690000,13130.900000,10.747694,762.549407
41,1493013,1502120,1502902,0.780000,0.000399,5514,-4.579540,7166.930000,13232.200000,3.041282,1288.735178
42,1514250,1595434,1596255,0.820000,0.000517,1537,-6.234279,7260.240000,13587.400000,-0.000000,1373.913043
43,1596255,1605181,1605910,0.730000,0.000428,4952,-5.154197,7269.990000,13684.800000,8.547431,1210.474308
44,1605910,1615767,1616477,0.710000,0.000448,5111,-5.474688,7280.580000,13790.300000,-0.000000,1292.391304
45,1616477,1626296,1627029,0.740000,0.000439,5363,-5.391865,7291.100000,13895.700000,-0.000000,1300.296443
46,1627029,1637331,1638027,0.700000,0.000422,6194,-5.205094,7302.140000,14005.800000,-0.000000,1141.996047
47,1638027,1647882,1648833,0.950000,0.000445,4166,-5.576294,7312.690000,14110.900000,0.287460,1180.434783
48,1648833,1658803,1659744,0.940000,0.000418,5667,-5.237400,7323.610000,14220.100000,5.220685,1133.498024
49,1659744,1669671,1670572,0.900000,0.000450,4464,-5.735946,7334.480000,14328.700000,-0.000000,1204.051383
50,1670572,1680701,1681514,0.810000,0.000492,2756,-6.390677,7345.510000,14438.600000,26.766798,802.964427
51,1681514,1690736,1691594,0.860000,0.000425,4675,-5.469182,7355.540000,14538.500000,2.702569,934.782609
52,1691594,1701310,1702061,0.750000,0.000480,2628,-6.322926,7366.120000,14644.400000,4.979139,1093.478261
53,1702061,1711974,1713040,1.070000,0.000460,3689,-6.078982,7376.780000,14750.600000,14.608037,1098.221344
54,1713040,1723066,1723959,0.900000,0.000437,5159,-5.782750,7387.870000,14861.300000,0.000000,1181.818182
55,1723959,1734330,1735251,0.920000,0.000436,5249,-5.822439,7399.140000,14974.000000,0.809042,1091.996047
56,1735251,1745322,1746119,0.800000,0.000443,4408,-5.977605,7410.130000,15083.600000,3.479301,944.071146
57,1746119,1755909,1756666,0.750000,0.000427,5065,-5.777401,7420.720000,15189.000000,0.874126,1115.711462
58,1756666,1766443,1767353,0.910000,0.000424,5556,-5.782894,7431.250000,15294.100000,17.032453,945.158103
59,1767353,1776987,1777862,0.870000,0.000439,4737,-6.056011,7441.800000,15399.400000,10.345090,1078.260870
60,1777862,1787642,1788679,1.040000,0.000451,4316,-6.283658,7452.450000,15505.600000,0.811879,596.442688
61,1788679,1797299,1798250,0.950000,0.000422,4104,-5.885911,7462.110000,15602.100000,-0.000000,1045.553360
62,1798250,1808470,1809067,0.600000,0.000470,2960,-6.679655,7473.280000,15713.500000,8.376406,1176.679842
63,1809067,1819100,1820060,0.960000,0.000420,6089,-5.939935,7483.910000,15819.600000,14.045737,876.482213
64,1820060,1829386,1830246,0.860000,0.000468,2795,-6.750932,7494.190000,15922.000000,0.657495,831.027668
65,1830246,1839825,1840699,0.880000,0.000444,4046,-6.407028,7504.630000,16026.000000,0.727632,667.786561
66,1840699,1849939,1850715,0.770000,0.000428,4510,-6.200565,7514.750000,16127.400000,7.788358,1160.375494
67,1850715,1860713,1861568,0.860000,0.000475,3500,-7.005467,7525.520000,16234.900000,-0.000000,1016.007905
68,1861568,1871369,1872261,0.890000,0.000429,5245,-6.315676,7536.180000,16341.200000,0.945793,1104.150198
69,1872261,1881935,1882999,1.070000,0.000459,3958,-6.848380,7546.740000,16446.400000,13.119042,1075.395257
70,1882999,1893122,1893919,0.800000,0.000448,5061,-6.714350,7557.930000,16558.300000,13.842462,666.897233
71,1893919,1902910,1903471,0.560000,0.000431,4290,-6.470653,7567.720000,16655.700000,17.714696,893.379447
72,1903471,1912837,1913586,0.740000,0.000440,4744,-6.668132,7577.650000,16755.000000,5.346948,950.889328
73,1913586,1923302,1924254,0.950000,0.000458,3589,-7.012102,7588.110000,16859.400000,-0.144606,510.276680
