Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,28306,68108,1577.07,2.480820e-04,0.049476,9.993861e-01,0.000000e+00,1.343047e-07,stable
U,90611,103600,5527.17,5.229496e-04,-2.454282,9.997910e-01,0.000000e+00,2.401917e-07,stable
L,105474,120249,5322.83,5.045264e-04,-2.247508,9.999572e-01,0.000000e+00,1.025163e-07,stable
U,188648,201026,11613.29,5.507666e-04,-5.959175,9.997483e-01,0.000000e+00,2.845805e-07,stable
L,203445,216829,11379.46,5.424825e-04,-5.735403,9.999013e-01,0.000000e+00,1.733155e-07,stable
U,379969,502429,17658.61,5.663088e-04,-9.563500,9.992176e-01,0.000000e+00,1.658713e-07,slow
L,526321,659266,17444.67,5.539184e-04,-9.225596,9.993248e-01,0.000000e+00,1.481704e-07,slow
U,2108099,2228221,23673.85,5.898557e-04,-13.527307,9.988711e-01,0.000000e+00,2.107811e-07,slow
L,2253548,2387109,23486.41,5.709466e-04,-12.971712,9.990910e-01,0.000000e+00,1.804613e-07,slow
U,2559647,2676568,29770.35,6.148985e-04,-17.869583,9.989497e-01,0.000000e+00,2.163102e-07,slow
L,2807541,2942405,29626.20,5.817283e-04,-16.797438,9.991113e-01,0.000000e+00,1.834269e-07,slow
U,3305566,3424790,35785.80,6.116832e-04,-21.452967,9.989321e-01,0.000000e+00,2.170766e-07,slow
L,3457753,3600010,35629.94,5.804730e-04,-20.244550,9.991198e-01,0.000000e+00,1.817459e-07,slow
U,3898080,4011167,39492.72,6.331426e-04,-24.567807,9.989667e-01,0.000000e+00,2.246524e-07,slow
