Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
0,1131555,1134460,1136853,2.390000,0.000022,2242,0.461551,3771.970000,10504.000000,9.449957,15.000000
1,1136853,1140205,1143396,3.190000,0.000019,3352,0.494264,3777.710000,10561.300000,9.349066,14.743083
2,1143396,1146116,1151175,5.060000,0.000025,2720,0.430170,3783.620000,10620.200000,9.432752,15.859684
3,1151175,1153119,1155882,2.770000,0.000065,616,-0.003070,3790.620000,10690.300000,9.065014,15.711462
4,1155882,1158458,1161425,2.970000,0.000022,2576,0.453683,3795.960000,10743.700000,9.205851,14.812253
5,1161425,1165242,1168256,3.010000,0.000022,3814,0.456310,3802.750000,10811.100000,9.311480,15.227273
6,1168256,1171498,1174618,3.120000,0.000038,2611,0.281271,3809.000000,10873.600000,8.879277,14.782609
7,1174618,1177994,1180544,2.550000,0.000049,1755,0.152387,3815.500000,10938.500000,9.151106,14.723320
8,1180544,1183469,1186278,2.810000,0.000031,2925,0.353264,3820.970000,10993.300000,9.009143,15.612648
9,1186278,1189471,1192596,3.120000,0.000038,3193,0.270190,3826.980000,11053.100000,9.023824,15.158103
10,1192596,1195150,1198380,3.230000,0.000064,2554,-0.015389,3832.660000,11108.600000,8.940060,14.930830
11,1198380,1200847,1203650,2.810000,0.000068,2467,-0.066271,3838.350000,11164.700000,8.729268,17.322134
12,1203650,1207191,1210374,3.180000,0.000070,3541,-0.089094,3844.700000,11225.200000,8.287700,15.049407
13,1210374,1213525,1216010,2.490000,0.000095,2999,-0.377757,3851.030000,11285.800000,8.277991,17.480237
14,1216010,1219943,1222500,2.560000,0.000123,3633,-0.701117,3857.450000,11349.700000,8.469658,16.600791
15,1222500,1225841,1228120,2.280000,0.000183,2283,-1.397728,3863.350000,11408.600000,7.978655,18.794466
16,1228120,1232065,1234160,2.100000,0.000191,3339,-1.495394,3869.570000,11470.700000,7.675876,19.940711
17,1234160,1238351,1240225,1.870000,0.000232,3418,-1.978670,3875.860000,11533.400000,7.080202,23.418972
18,1240225,1245005,1246780,1.780000,0.000263,3589,-2.356442,3882.510000,11599.800000,7.341229,28.754941
19,1246780,1251840,1253715,1.870000,0.000306,3462,-2.875939,3889.350000,11668.000000,6.546637,31.916996
20,1253715,1258853,1260691,1.840000,0.000320,3186,-3.060788,3896.360000,11737.700000,6.317033,33.695652
21,1260691,1266139,1267680,1.550000,0.000319,3965,-3.066901,3903.640000,11809.500000,6.610353,39.920949
22,1267680,1273483,1274927,1.440000,0.000340,3624,-3.339057,3910.990000,11882.800000,6.398221,53.063241
23,1274927,1280901,1282437,1.530000,0.000361,3531,-3.620653,3918.410000,11956.900000,6.570754,53.557312
24,1282437,1288268,1290016,1.750000,0.000361,3623,-3.647509,3925.770000,12030.300000,6.206263,57.608696
25,1290016,1295815,1297593,1.780000,0.000369,3539,-3.769528,3933.320000,12105.700000,6.165224,62.055336
26,1297593,1303687,1305129,1.440000,0.000375,3545,-3.866229,3941.190000,12184.300000,6.581733,80.237154
27,1305129,1311502,1313090,1.590000,0.000386,3675,-4.035720,3949.010000,12262.400000,6.113636,72.826087
28,1313090,1319254,1320581,1.330000,0.000384,3250,-4.040537,3956.760000,12339.700000,5.899891,152.766798
29,1320581,1327804,1329162,1.360000,0.000442,3043,-4.785122,3965.310000,12424.800000,5.473003,206.422925
30,1329162,1336913,1338349,1.430000,0.000462,2499,-5.074595,3974.420000,12515.800000,5.448739,111.857708
31,1338349,1345068,1346310,1.250000,0.000416,3465,-4.531654,3982.570000,12597.100000,6.163928,226.185771
32,1346310,1353772,1355362,1.590000,0.000474,2836,-5.308346,3991.280000,12684.000000,5.386837,117.193676
33,1355362,1361933,1363177,1.240000,0.000438,2297,-4.883157,3999.440000,12765.500000,5.957775,513.438735
34,1363177,1371799,1373878,2.080000,0.000513,2909,-5.881789,4009.300000,12863.700000,5.250988,41.205534
35,1373878,1378917,1380057,1.140000,0.000332,3525,-3.595651,4016.420000,12935.300000,6.438218,235.671937
36,1380057,1387951,1389033,1.080000,0.000485,3112,-5.606618,4025.460000,13025.200000,5.928854,422.035573
37,1389033,1397147,1398555,1.410000,0.000481,3848,-5.601062,4034.650000,13116.900000,5.297963,278.162055
38,1398555,1406188,1407571,1.390000,0.000487,2932,-5.727859,4043.690000,13207.200000,6.154715,447.628458
39,1407571,1415710,1417032,1.320000,0.000488,3762,-5.788702,4053.220000,13302.100000,5.255120,277.569170
40,1417032,1424541,1425678,1.130000,0.000485,3298,-5.787998,4062.050000,13390.400000,5.612067,338.142292
41,1425678,1433381,1434334,0.950000,0.000500,2733,-6.025251,4070.890000,13478.600000,5.376392,513.833992
42,1434334,1442872,1443949,1.070000,0.000501,3624,-6.090764,4080.380000,13573.300000,5.111989,674.604743
43,1443949,1452688,1453890,1.210000,0.000506,4261,-6.202106,4090.190000,13671.200000,4.816846,306.719368
44,1453890,1461516,1462309,0.790000,0.000487,2434,-5.992892,4099.020000,13759.400000,4.940711,978.952569
45,1462309,1471628,1472939,1.310000,0.000534,3813,-6.682132,4109.130000,13859.900000,5.120469,264.624506
46,1472939,1480249,1481172,0.930000,0.000478,2809,-5.955495,4117.750000,13946.200000,5.924901,742.391304
47,1481172,1489960,1490899,0.930000,0.000543,2981,-6.916008,4127.470000,14042.900000,4.829545,653.260870
48,1490899,1619742,1628355,8.610000,0.000577,1316,-7.447529,4257.250000,14161.700000,nan,1152.272727
49,1628355,1636844,1637641,0.800000,0.000521,4946,-6.759617,4274.350000,14331.900000,4.026680,801.185771
50,1637641,1645649,1646558,0.910000,0.000543,3629,-7.117778,4283.150000,14420.000000,6.626542,702.272727
51,1646558,1654249,1655174,0.930000,0.000515,4397,-6.760360,4291.750000,14505.800000,5.998291,610.375494
52,1655174,1662807,1663691,0.890000,0.000522,3950,-6.907853,4300.310000,14591.100000,5.314010,816.501976
53,1663691,1672030,1672844,0.810000,0.000590,2585,-7.954116,4309.540000,14683.200000,4.820532,618.774704
54,1672844,1680538,1681401,0.870000,0.000565,2334,-7.632705,4318.040000,14768.300000,3.084722,888.932806
55,1681401,1689929,1690781,0.860000,0.000544,4159,-7.379045,4327.430000,14861.800000,1.926877,1037.747036
56,1690781,1699644,1700549,0.900000,0.000551,3964,-7.528620,4337.150000,14958.800000,-0.000000,897.924901
57,1700549,1708963,1709868,0.900000,0.000528,4330,-7.244827,4346.470000,15051.700000,4.774287,645.948617
58,1709868,1717795,1718494,0.700000,0.000527,3897,-7.272502,4355.300000,15140.300000,6.727602,900.494071
59,1718494,1727011,1727872,0.860000,0.000542,4040,-7.549623,4364.520000,15232.000000,6.685163,854.743083
60,1727872,1736351,1737057,0.700000,0.000515,4981,-7.185724,4373.860000,15325.000000,5.413608,1127.865613
61,1737057,1746032,1746741,0.710000,0.000564,3428,-7.981210,4383.540000,15421.500000,13.805759,1137.154150
62,1746741,1755733,1756568,0.830000,0.000547,4562,-7.777369,4393.240000,15518.400000,4.905421,836.561265
63,1756568,1764850,1765498,0.640000,0.000518,4597,-7.376215,4402.360000,15609.300000,13.018775,934.584980
64,1765498,1774154,1774910,0.760000,0.000654,1439,-9.549245,4411.660000,15702.200000,6.052372,1044.071146
65,1774910,1783764,1784487,0.720000,0.000580,2826,-8.444304,4421.270000,15798.100000,6.898468,1035.177866
66,1784487,1793243,1793948,0.700000,0.000580,2764,-8.503586,4430.750000,15893.000000,5.617209,1159.683794
67,1793948,1803109,1803709,0.600000,0.000577,3029,-8.519018,4440.610000,15991.200000,8.695652,1263.339921
68,1803709,1813076,1813735,0.660000,0.000552,4383,-8.167766,4450.580000,16090.600000,8.646245,1356.916996
69,1813735,1823024,1823828,0.800000,0.000549,4611,-8.182551,4460.530000,16190.000000,2.310733,1197.727273
70,1823828,1832889,1833580,0.700000,0.000555,4208,-8.324751,4470.390000,16288.500000,6.543698,1245.454545
71,1833580,1842966,1843687,0.720000,0.000521,5774,-7.832621,4480.470000,16389.000000,1.489815,1163.636364
72,1843687,1852619,1853388,0.770000,0.000563,3568,-8.568951,4490.120000,16485.400000,4.176548,1074.209486
73,1853388,1862294,1862936,0.640000,0.000565,3826,-8.665567,4499.800000,16582.000000,12.725077,1300.395257
74,1862936,1872336,1873015,0.680000,0.000693,1354,-10.836699,4509.840000,16682.100000,1.741601,1351.185771
75,1873015,1882133,1882961,0.830000,0.000551,4595,-8.533176,4519.640000,16780.100000,5.154809,1210.177866
76,1882961,1892172,1892768,0.590000,0.000561,4076,-8.756179,4529.680000,16880.400000,10.333145,1395.553360
77,1892768,1902025,1902720,0.700000,0.000549,4963,-8.609064,4539.530000,16978.600000,6.793478,1340.019763
78,1902720,1911869,1912574,0.710000,0.000573,3852,-9.073192,4549.370000,17077.100000,4.189723,1249.110672
79,1912574,1921527,1922334,0.810000,0.000528,5528,-8.362272,4559.030000,17173.300000,5.314794,1139.822134
80,1922334,1931428,1932133,0.710000,0.000554,4352,-8.854518,4568.930000,17272.100000,5.447134,1286.561265
81,1932133,1941517,1942260,0.750000,0.000539,5259,-8.652716,4579.020000,17373.000000,2.610343,1221.541502
82,1942260,1951245,1951851,0.610000,0.000540,4598,-8.718841,4588.750000,17470.000000,-1.037549,1240.711462
83,1951851,1960931,1961556,0.620000,0.000542,4677,-8.810647,4598.440000,17566.800000,9.659091,1318.083004
