MaxFrictionRow,MinFrictionRow
1220003,1223193
1226360,1228897
1231567,1233796
1236738,1239438
1242184,1244349
1247329,1249396
1252492,1254750
1257299,1260146
1263145,1264880
1267340,1269749
1272786,1274873
1277626,1280834
1283377,1286264
1289153,1291739
1294535,1296822
1299932,1302124
1305317,1306982
1310214,1312584
1315477,1317268
1319441,1321750
1324882,1327189
1329831,1332235
1334850,1336690
1340908,1342343
1344859,1347090
1349111,1351508
1354000,1356242
1358636,1361033
1363640,1366050
1368827,1370997
1373522,1376235
1378784,1381099
1383444,1386084
1388593,1390695
1393828,1395774
1398732,1400793
1403545,1405924
1408614,1411191
1414085,1416309
1419319,1421387
1424251,1426691
1429986,1431702
1434884,1436886
1440314,1442063
1445669,1447399
1450961,1452798
1537818,1507244
1549008,1550093
1554269,1555578
1560222,1561207
1566149,1567287
1571676,1573093
1577011,1578402
1582363,1583825
1587777,1589219
1593198,1594686
1598580,1599985
1603730,1605253
1609400,1610691
1614928,1616508
1620483,1621787
1625942,1627489
1631470,1632784
1636990,1638326
1642290,1643680
1647656,1649123
1653382,1654699
1658965,1660313
1664416,1665769
1669990,1671449
1675559,1677127
1681228,1682574
1686865,1688337
1692547,1693937
1698070,1699511
1703836,1705212
1709484,1710914
1715005,1716521
1721079,1722420
1726818,1728125
1732590,1733819
1738470,1739887
1744633,1745772
1750537,1751835
1756383,1757509
1762440,1763829
1768588,1769688
1774881,1776039
1780941,1781928
1787155,1788412
1793160,1794387
1799295,1800486
1805445,1806687
1811991,1813230
1818091,1819319
1824380,1825477
1830666,1831806
1837096,1838275
1843404,1844427
1849598,1850585
1855816,1856769
1862289,1863276
1869060,1869852
1875810,1876685
1882114,1883038
1888993,1889757
1895907,1896927
1902538,1903502
1909508,1910465
1915905,1916813
1923143,1923720
1929581,1930404
1936611,1937494
1943336,1944282
1950651,1951455
1958107,1958927
1965358,1966208
1972282,1973172
1979472,1980183
1986585,1987358
1993400,1994216
2000320,2001162
2007561,2008279
2014657,2015759
2021501,2022176
2028374,2029222
2035224,2036061
2041908,2042721
2049042,2049750
2056035,2056713
2063441,2064026
2071003,2071738
2078129,2078910
2084611,2085253
2092176,2092807
2099499,2100200
2106359,2106986
2113013,2114035
2120300,2120946
2127780,2128477
2135041,2135756
2142052,2142731
2149153,2149979
2156317,2157217
2163383,2164016
2170949,2171726
2178255,2178886
2185379,2186054
2192240,2192974
2199054,2199694
2206337,2206822
2213473,2214180
2220425,2221083
2227571,2228176
2234785,2235477
2241644,2242251
2249018,2249592
2256531,2257206
2263651,2264309
2270712,2271493
2278355,2279081
2282094,2286472
2292678,2293971
2300259,2301478
2308201,2309377
2315660,2316487
2322919,2323990
2330385,2331183
2337422,2338497
2561839,2448091
2582068,2582875
2588910,2589440
2595659,2596547
2603028,2603673
2609560,2610173
2616578,2617154
2623614,2624149
2630412,2631021
2637008,2637686
2644204,2644614
2651485,2651950
2658618,2659035
2665505,2666113
2672211,2672662
2679266,2679829
2685644,2686230
2692641,2693196
2699786,2700354
2706835,2707404
2713871,2714397
2720966,2721603
2727513,2728306
2734402,2735026
2741277,2741815
2748116,2748696
2755006,2755689
2761893,2762500
2768439,2769136
2775501,2776147
2782170,2782909
2789501,2790150
2796352,2797221
2803341,2803933
