Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,20016,69977,1876.28,2.091125e-04,0.047834,9.994256e-01,0.000000e+00,1.003914e-07,stable
U,71500,89159,5432.83,3.687388e-04,-1.566454,9.999345e-01,0.000000e+00,7.942567e-08,stable
L,91472,111767,5285.66,3.483910e-04,-1.403877,9.999833e-01,0.000000e+00,3.675291e-08,stable
U,459714,636181,11589.13,3.728787e-04,-3.884616,9.996448e-01,0.000000e+00,5.944521e-08,slow
L,666786,858401,11357.18,3.553458e-04,-3.597944,9.997475e-01,0.000000e+00,4.671202e-08,slow
U,1549111,1721648,17754.63,3.830006e-04,-6.363258,9.996426e-01,0.000000e+00,6.208095e-08,fast
L,1753580,1939064,17524.75,3.678055e-04,-6.008119,9.997369e-01,0.000000e+00,5.004799e-08,fast
U,2422521,2587704,23578.14,4.038934e-04,-9.086080,9.994801e-01,0.000000e+00,8.107450e-08,fast
L,2614647,2794864,23359.67,3.932401e-04,-8.748414,9.995636e-01,0.000000e+00,7.140768e-08,fast
U,3526794,3691097,29645.48,4.224073e-04,-12.085851,9.994954e-01,0.000000e+00,8.536419e-08,fast
L,3736491,3914437,29450.39,4.111851e-04,-11.672096,9.995769e-01,0.000000e+00,7.511975e-08,fast
U,4660408,4823647,35676.19,4.320737e-04,-14.978124,9.995237e-01,0.000000e+00,8.613870e-08,fast
L,4869392,5047796,35486.00,4.213303e-04,-14.513926,9.995947e-01,0.000000e+00,7.636795e-08,fast
U,5434133,5597650,40441.00,4.459737e-04,-17.599149,9.994757e-01,0.000000e+00,9.456023e-08,fast
L,5636281,5815483,40247.45,4.323600e-04,-16.964177,9.995884e-01,0.000000e+00,7.996605e-08,fast
U,5861633,5918659,41144.84,4.558377e-04,-18.308816,9.993257e-01,0.000000e+00,1.207005e-07,fast
