RowNumber Stress
1180001.5418 5.5499
1185024.2452 5.5506
1190163.7557 5.5489
1195420.0733 5.5480
1200325.9696 5.5462
1205465.4801 5.5443
1209962.5518 5.5443
1214973.5372 5.5433
1219984.5225 5.5428
1225403.3787 5.5411
1230815.9101 5.5404
1235902.6289 5.5401
1240626.0107 5.5399
1246795.5312 5.5377
1252031.8470 5.5377
1257268.1627 5.5367
1262660.0126 5.5379
1267844.4837 5.5349
1272873.4206 5.5334
1278420.8046 5.5344
1283553.4309 5.5325
1288997.1255 5.5337
1294279.1137 5.5349
1299192.8704 5.5334
1304520.4172 5.5320
1309899.6878 5.5307
1315227.2346 5.5295
1320244.4389 5.5285
1325985.7757 5.5310
1331603.9465 5.5277
1336861.3174 5.5243
1342421.4480 5.5243
1347930.0960 5.5218
1353696.1574 5.5223
1359359.2534 5.5190
1364661.9706 5.5168
1370325.0666 5.5198
1376348.5414 5.5160
1381651.2586 5.5155
1387468.8027 5.5158
1393742.3600 5.5183
1399450.2687 5.5190
1404952.4869 5.5148
1410551.0082 5.5150
1416648.8955 5.5135
1422292.1848 5.5135
1427730.2637 5.5140
1434091.7898 5.5143
1439581.1713 5.5112
1445737.4869 5.5089
1451124.2631 5.5082
1457177.9735 5.5026
1548262.5132 5.4947
1554761.2052 5.4915
1560984.5289 5.4915
1567483.2209 5.5074
1574092.0602 5.5066
1580040.0156 5.4979
1586043.0446 5.5169
1591715.6317 5.5050
1597828.8080 5.5098
1603666.6161 5.5034
1609559.4978 5.5002
1615493.5764 5.4971
1621482.6003 5.4939
1627629.2768 5.4931
1633995.4776 5.5083
1639593.3437 5.5019
1646014.4255 5.5099
1651550.9409 5.4891
1657792.7831 5.4875
1664675.5661 5.4956
1670848.2206 5.5045
1676747.7489 5.4883
1683731.6213 5.5062
1689678.8252 5.4915
1697526.5112 5.5045
1703412.2757 5.4997
1709788.5206 5.4956
1716864.9679 5.4948
1723342.6388 5.4972
1730302.0852 5.4907
1737144.7941 5.4733
1744965.0328 5.4667
1753111.1148 5.4948
1759992.0400 5.4915
1767243.7547 5.4906
1774865.3840 5.4798
1782046.1893 5.4756
1789982.8687 5.4790
1798027.5303 5.4907
1805046.3625 5.4849
1812875.0599 5.4849
1820424.9798 5.4739
1828514.1796 5.4731
1836225.8835 5.4832
1843874.7212 5.4891
1851451.9746 5.4798
1858706.7917 5.4773
1865854.1300 5.4731
1873592.6015 5.4664
1881277.3337 5.4864
1888304.9657 5.4680
1895820.9768 5.4705
1903654.5658 5.4638
1911117.6473 5.4622
1918633.6584 5.4622
1926678.9661 5.4731
1934142.0475 5.4680
1942293.2145 5.4781
1949544.5773 5.4638
1957536.9553 5.4553
1965635.1927 5.4612
1973521.7114 5.4553
1981037.7225 5.4655
1988871.3115 5.4756
1996757.8302 5.4722
2004538.4896 5.4503
2012530.8676 5.4612
2020470.3160 5.4764
2028356.8347 5.4714
2036455.0720 5.4865
2044076.9424 5.4848
2051751.7425 5.4781
2058685.5274 5.4738
2066677.9054 5.4738
2074140.9868 5.4653
2082239.2242 5.4772
2089120.0794 5.4823
2096680.1857 5.4593
2104231.4680 5.4721
2112310.8119 5.4746
