Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
56,1684047,1694495,1695289,0.790000,0.000652,1442,-9.310935,4059.680000,15389.600000,5.554820,227.303006
57,1695289,1704436,1705051,0.610000,0.000495,3514,-6.962956,4069.620000,15489.400000,4.692162,314.526660
58,1705051,1715050,1715950,0.900000,0.000544,3380,-7.771835,4080.230000,15594.600000,2.486096,310.742449
59,1715950,1726206,1726904,0.700000,0.000566,2348,-8.173169,4091.390000,15706.300000,4.150810,244.778800
60,1726904,1736132,1736739,0.600000,0.000516,2574,-7.448820,4101.320000,15805.300000,5.803083,292.874759
61,1736739,1746968,1747714,0.750000,0.000505,4386,-7.336382,4112.150000,15913.400000,4.465822,275.955260
62,1747714,1757644,1758481,0.830000,0.000474,5535,-6.885334,4122.830000,16019.800000,5.240762,291.456483
63,1758481,1768267,1769154,0.890000,0.000661,1207,-9.933922,4133.450000,16125.800000,3.428745,290.954508
64,1769154,1779195,1779951,0.750000,0.000485,5177,-7.161529,4144.380000,16234.900000,4.897864,276.519693
65,1779951,1789841,1790484,0.650000,0.000609,1564,-9.228012,4155.020000,16341.500000,6.705416,280.643803
66,1790484,1800459,1801263,0.810000,0.000513,4095,-7.731446,4165.640000,16447.400000,5.776539,278.140989
67,1801263,1811261,1811904,0.650000,0.000579,1930,-8.874328,4176.440000,16554.900000,5.540515,317.140348
68,1811904,1822161,1822883,0.730000,0.000519,3679,-7.947652,4187.340000,16663.600000,6.749149,247.080921
69,1822883,1832667,1833455,0.790000,0.000485,5133,-7.430594,4197.850000,16768.600000,6.147776,301.331952
70,1833455,1843200,1844070,0.870000,0.000484,5314,-7.463132,4208.380000,16873.700000,6.742844,290.925372
71,1844070,1853700,1854473,0.780000,0.000512,4168,-7.988059,4218.880000,16978.600000,4.779595,345.803375
72,1854473,1864772,1865707,0.930000,0.000669,1330,-10.716028,4229.960000,17089.100000,4.783551,339.211462
73,1865707,1876354,1877141,0.780000,0.000513,4785,-8.116761,4241.540000,17204.700000,4.999606,281.738885
74,1877141,1886836,1887633,0.800000,0.000480,5523,-7.613212,4252.020000,17309.800000,3.348985,282.000998
75,1887633,1897490,1898330,0.840000,0.000501,4880,-8.017286,4262.670000,17416.000000,4.707539,263.370744
76,1898330,1907413,1908469,1.050000,0.000649,1054,-10.654211,4272.600000,17515.400000,3.055094,253.002336
77,1908469,1917520,1918235,0.720000,0.000584,1730,-9.577572,4282.700000,17615.600000,3.943852,260.551708
78,1918235,1927628,1928322,0.700000,0.000485,4623,-7.892608,4292.810000,17716.600000,5.062544,275.361366
79,1928322,1937786,1938372,0.590000,0.000504,4149,-8.271736,4302.970000,17818.100000,5.774089,202.116146
80,1938372,1947210,1947991,0.780000,0.000500,3834,-8.257531,4312.390000,17911.900000,4.138079,384.978235
81,1947991,1958718,1959478,0.760000,0.000661,1533,-11.195314,4323.900000,18026.700000,5.309415,267.804822
82,1959478,1968708,1969517,0.810000,0.000505,4351,-8.441840,4333.890000,18126.300000,5.070509,277.673991
83,1969517,1979462,1980255,0.790000,0.000498,5131,-8.367745,4344.650000,18233.700000,6.100472,215.486676
84,1980255,1988817,1989777,0.960000,0.000586,1447,-10.031687,4354.000000,18327.600000,4.313903,245.418622
85,1989777,1999654,2000374,0.720000,0.000508,4329,-8.667157,4364.840000,18433.900000,7.191077,265.648313
86,2000374,2009746,2010576,0.830000,0.000573,2711,-9.902853,4374.930000,18533.300000,1.852528,277.842628
87,2010576,2020067,2020684,0.620000,0.000531,3471,-9.184604,4385.250000,18637.200000,3.919830,262.057663
88,2020684,2030076,2030647,0.570000,0.000607,1513,-10.669223,4395.260000,18736.100000,5.816674,345.600514
89,2030647,2040719,2041454,0.740000,0.000522,5166,-9.126851,4405.900000,18842.800000,3.433292,231.435449
90,2041454,2050552,2051261,0.700000,0.000529,3335,-9.323335,4415.740000,18940.600000,2.788146,316.709953
91,2051261,2061107,2061698,0.590000,0.000714,997,-12.883491,4426.290000,19045.700000,4.761277,242.117416
92,2061698,2071202,2071875,0.670000,0.000499,4795,-8.850397,4436.390000,19146.600000,6.031657,222.498243
93,2071875,2081355,2082020,0.660000,0.000659,900,-11.965661,4446.540000,19248.000000,6.557368,250.125087
94,2082020,2091323,2091926,0.600000,0.000478,5911,-8.556848,4456.510000,19347.500000,5.978575,372.418904
95,2091926,2102064,2102850,0.780000,0.000509,5944,-9.194370,4467.250000,19454.700000,5.354035,297.173289
96,2102850,2112396,2113120,0.720000,0.000542,3619,-9.892327,4477.580000,19557.800000,5.905004,319.562680
97,2113120,2122986,2123606,0.620000,0.000583,2573,-10.752883,4488.170000,19663.600000,7.059827,312.041959
98,2123606,2133232,2133896,0.660000,0.000536,3556,-9.882585,4498.420000,19765.700000,6.748670,293.648501
99,2133896,2143207,2143799,0.590000,0.000491,5384,-9.042588,4508.390000,19865.400000,6.984983,289.013645
100,2143799,2153441,2154122,0.690000,0.000510,4927,-9.486408,4518.620000,19967.400000,5.043201,317.944848
101,2154122,2164152,2164807,0.650000,0.000718,1218,-13.691847,4529.340000,20074.300000,5.653216,256.752192
102,2164807,2173842,2174380,0.530000,0.000493,5106,-9.239999,4539.030000,20171.500000,6.612530,253.901025
103,2174380,2183760,2184353,0.600000,0.000534,3868,-10.115075,4548.940000,20270.200000,4.407281,302.617446
104,2184353,2193828,2194399,0.570000,0.000502,5479,-9.517283,4559.010000,20370.600000,5.569285,290.443986
105,2194399,2203566,2204016,0.450000,0.000550,3366,-10.559562,4568.750000,20467.900000,4.456564,391.122690
106,2204016,2214503,2214958,0.450000,0.000509,6018,-9.767427,4579.690000,20576.900000,4.216433,325.103120
107,2214958,2224745,2225352,0.610000,0.000524,4710,-10.128659,4589.930000,20679.400000,4.645743,270.049387
108,2225352,2235006,2235627,0.620000,0.000515,4584,-10.007570,4600.190000,20781.700000,3.137018,282.248028
109,2235627,2245399,2246041,0.640000,0.000498,5559,-9.707458,4610.580000,20885.300000,6.509799,249.743779
110,2246041,2254540,2255147,0.610000,0.000517,3945,-10.141539,4619.720000,20976.500000,5.019002,309.802111
111,2255147,2265242,2265627,0.380000,0.000545,3637,-10.790196,4630.430000,21083.400000,6.119639,297.809103
112,2265627,2275066,2275748,0.680000,0.000530,3940,-10.531538,4640.250000,21182.200000,5.724808,220.566824
113,2275748,2284489,2284884,0.400000,0.000491,4418,-9.747706,4649.670000,21275.600000,12.613454,300.501282
114,2284884,2294826,2295567,0.740000,0.000549,3709,-11.039130,4660.010000,21378.900000,6.892386,355.993738
115,2295567,2305519,2306076,0.560000,0.000670,1493,-13.671825,4670.700000,21485.200000,6.485761,317.847461
116,2306076,2315450,2316270,0.820000,0.000541,4016,-10.964624,4680.630000,21585.100000,4.746095,333.330311
117,2316270,2325813,2326661,0.840000,0.000702,1257,-14.500110,4691.000000,21688.100000,7.505161,307.617838
118,2326661,2336345,2336828,0.480000,0.000512,5107,-10.459123,4701.530000,21793.100000,3.991936,359.580342
119,2336828,2346295,2347135,0.840000,0.000670,1456,-13.953994,4711.480000,21892.900000,4.505605,316.618486
120,2347135,2357494,2357997,0.500000,0.000570,3291,-11.837792,4722.680000,22004.100000,4.961698,299.109095
121,2357997,2367657,2368115,0.460000,0.000523,4692,-10.860070,4732.840000,22105.500000,3.933535,334.103382
122,2368115,2377836,2378405,0.570000,0.000541,4009,-11.313422,4743.020000,22206.700000,7.944391,326.416047
123,2378405,2387878,2388515,0.640000,0.000528,3835,-11.073570,4753.060000,22307.000000,7.780459,217.753967
124,2558909,2731436,2732024,0.590000,0.000490,157426,-10.285818,5096.620000,22600.100000,0.003803,451.840726
125,2732024,2740683,2741234,0.550000,0.000431,6673,-9.092407,5105.870000,22691.500000,4.564349,473.114187
126,2741234,2750423,2750774,0.350000,0.000429,6988,-9.085504,5115.610000,22788.900000,5.370398,555.713266
127,2750774,2760051,2760660,0.610000,0.000443,6964,-9.448671,5125.230000,22885.400000,5.228157,503.688948
128,2760660,2770211,2770527,0.320000,0.000436,6909,-9.322442,5135.390000,22986.500000,3.661135,544.135217
129,2770527,2780590,2780904,0.320000,0.000436,7675,-9.380580,5145.770000,23090.200000,3.923036,513.834905
130,2780904,2790448,2790852,0.410000,0.000467,7949,-10.130658,5155.630000,23188.700000,8.007047,557.838622
131,2790852,2800650,2801110,0.460000,0.000499,6751,-10.925761,5165.830000,23289.800000,8.041495,298.025270
132,2801110,2810549,2811111,0.560000,0.000502,6262,-11.049850,5175.730000,23389.000000,6.699351,233.980112
133,2811111,2820014,2820391,0.370000,0.000479,6624,-10.552636,5185.200000,23483.300000,8.725221,284.742605
134,2820391,2829724,2830499,0.770000,0.000496,6912,-11.007954,5194.910000,23580.200000,3.432686,249.762473
135,2830499,2839527,2840266,0.740000,0.000507,5898,-11.298981,5204.710000,23678.100000,6.050347,301.121512
136,2840266,2849821,2850369,0.550000,0.000500,6410,-11.184681,5215.000000,23780.900000,5.231313,236.814640
137,2850369,2858830,2859614,0.790000,0.000479,6080,-10.734973,5224.010000,23870.900000,3.571106,244.327767
138,2859614,2868447,2869049,0.600000,0.000495,5882,-11.161405,5233.630000,23966.700000,5.401766,263.265455
139,2869049,2878025,2878879,0.850000,0.000508,5740,-11.532980,5243.210000,24062.000000,4.247234,323.376344
140,2878879,2888485,2888947,0.460000,0.000484,7445,-10.999404,5253.670000,24166.800000,4.499526,319.696946
141,2888947,2898183,2898898,0.710000,0.000527,4893,-12.082515,5263.370000,24263.500000,4.401092,350.934443
142,2898898,2908191,2908579,0.390000,0.000522,4843,-12.023263,5273.370000,24363.100000,7.310768,478.840086
143,2908579,2918636,2919143,0.510000,0.000536,5497,-12.403212,5283.820000,24467.700000,5.569755,421.032141
144,2919143,2928829,2929423,0.600000,0.000511,6517,-11.843384,5294.010000,24569.400000,5.579355,315.136176
145,2929423,2938834,2939343,0.510000,0.000511,6239,-11.905819,5304.020000,24668.000000,2.946697,401.445943
146,2939343,2949038,2949893,0.860000,0.000508,6798,-11.894345,5314.220000,24770.200000,4.412285,375.829434
147,2949893,2959138,2960140,1.000000,0.000490,6843,-11.482752,5324.320000,24870.600000,3.909296,323.732125
148,2960140,2969064,2969705,0.640000,0.000500,6177,-11.782157,5334.250000,24970.300000,5.517147,310.886784
149,2969705,2979081,2979462,0.390000,0.000540,4856,-12.842671,5344.260000,25070.200000,8.385339,390.524740
150,2979462,2988661,2989293,0.640000,0.000528,5030,-12.597547,5353.840000,25165.400000,5.556253,405.003726
151,2989293,2999284,2999738,0.450000,0.000528,5406,-12.638124,5364.470000,25271.200000,4.610248,335.180340
152,2999738,3008500,3009148,0.650000,0.000531,5103,-12.758102,5373.680000,25363.500000,4.175241,355.276338
153,3009148,3018143,3018647,0.500000,0.000531,5576,-12.813310,5383.330000,25459.900000,3.981591,343.468245
154,3018647,3028131,3028541,0.410000,0.000520,5910,-12.597464,5393.310000,25559.600000,7.111759,257.973845
155,3028541,3037312,3037703,0.390000,0.000503,5594,-12.204315,5402.500000,25651.000000,6.224767,425.181209
156,3037703,3047327,3047887,0.560000,0.000535,5111,-13.074322,5412.510000,25751.300000,7.212148,331.188454
157,3047887,3057016,3057555,0.540000,0.000601,2562,-14.815071,5422.200000,25848.200000,6.462222,449.237066
158,3057555,3067673,3068086,0.410000,0.000570,4453,-14.090394,5432.860000,25953.900000,0.071679,350.047933
159,3068086,3077260,3077950,0.690000,0.000540,4761,-13.355817,5442.440000,26050.000000,5.676844,407.032238
160,3077950,3087372,3087789,0.410000,0.000528,5825,-13.115691,5452.560000,26150.800000,4.281351,363.486673
161,3087789,3097063,3097682,0.620000,0.000523,5990,-13.023112,5462.250000,26247.800000,4.264685,379.549114
162,3097682,3107039,3107350,0.310000,0.000517,6551,-12.908738,5472.220000,26347.200000,5.522801,380.868602
163,3107350,3116741,3117051,0.310000,0.000539,5437,-13.546464,5481.920000,26444.000000,5.557691,314.614808
164,3117051,3126390,3126738,0.350000,0.000528,5507,-13.313072,5491.570000,26540.100000,7.014886,404.677206
165,3126738,3136124,3136502,0.380000,0.000537,4957,-13.588158,5501.310000,26637.600000,8.130730,309.686955
166,3136502,3145594,3146076,0.480000,0.000550,4190,-13.997629,5510.780000,26731.900000,4.342891,267.180457
167,3146076,3155004,3155348,0.340000,0.000547,4005,-13.964624,5520.190000,26826.100000,7.492499,417.439561
168,3155348,3165263,3165764,0.500000,0.000530,6274,-13.559556,5530.450000,26928.200000,4.425662,366.900200
169,3165764,3174851,3175317,0.470000,0.000509,6096,-13.052827,5540.030000,27023.500000,6.460999,332.511850
170,3175317,3184450,3184886,0.440000,0.000542,4992,-13.999903,5549.630000,27119.700000,4.067301,332.193521
171,3184886,3193717,3194209,0.490000,0.000550,3935,-14.276814,5558.900000,27212.400000,6.071231,311.841867
172,3194209,3203405,3203919,0.510000,0.000552,4555,-14.379692,5568.590000,27309.100000,4.900245,384.347553
173,3203919,3213541,3213953,0.420000,0.000527,5957,-13.752743,5578.720000,27409.900000,5.217491,413.629505
174,3213953,3223694,3224328,0.630000,0.000533,5580,-13.961179,5588.880000,27511.300000,3.784922,222.374623
175,3224328,3232206,3232845,0.640000,0.000517,4280,-13.562524,5597.390000,27596.600000,5.479112,333.720556
176,3232845,3242060,3242771,0.710000,0.000532,5945,-14.025077,5607.240000,27695.100000,3.875940,324.351586
177,3242771,3252093,3252663,0.570000,0.000521,6062,-13.780807,5617.280000,27795.100000,4.488028,331.629438
178,3252663,3262123,3262357,0.230000,0.000540,4817,-14.358619,5627.310000,27894.900000,4.839987,364.347243
179,3262357,3271541,3272089,0.550000,0.000527,5390,-14.040708,5636.720000,27988.600000,4.892546,440.245181
180,3272089,3282013,3282501,0.480000,0.000554,5371,-14.868522,5647.200000,28093.500000,3.906176,347.781217
181,3282501,3291746,3292179,0.430000,0.000569,4318,-15.332681,5656.930000,28190.600000,3.513751,331.665990
182,3292179,3301256,3301885,0.630000,0.000531,5558,-14.313907,5666.440000,28285.800000,5.131752,280.382290
183,3301885,3310809,3311339,0.530000,0.000528,5961,-14.280610,5675.990000,28380.800000,5.998019,344.270782
184,3311339,3320689,3321216,0.530000,0.000587,3282,-16.003616,5685.870000,28479.400000,5.767980,351.827596
185,3321216,3330669,3331225,0.560000,0.000706,1307,-19.471451,5695.850000,28579.000000,4.742353,292.243665
186,3331225,3340003,3340545,0.540000,0.000524,5829,-14.325570,5705.190000,28672.300000,5.450031,380.793885
187,3340545,3350185,3350626,0.440000,0.000552,4939,-15.176851,5715.370000,28774.000000,5.695936,433.892732
188,3350626,3360383,3360789,0.400000,0.000519,6708,-14.282021,5725.570000,28875.600000,7.954185,312.649761
189,3360789,3369599,3369954,0.360000,0.000532,5474,-14.710180,5734.780000,28967.400000,6.112862,327.943736
190,3369954,3378785,3379400,0.610000,0.000534,4840,-14.810782,5743.970000,29059.200000,6.018824,319.556675
191,3379400,3388835,3389392,0.560000,0.000552,5222,-15.403185,5754.020000,29159.600000,3.180881,343.862075
192,3389392,3398560,3399131,0.570000,0.000539,5751,-15.063905,5763.740000,29256.800000,3.765076,364.966780
193,3399131,3409064,3409485,0.420000,0.000737,1394,-20.928050,5774.250000,29361.800000,3.604362,384.604990
194,3409485,3419206,3419945,0.740000,0.000543,6092,-15.306144,5784.390000,29463.100000,5.012217,322.436377
195,3419945,3429041,3429581,0.540000,0.000524,5632,-14.788468,5794.220000,29561.100000,5.129210,384.790058
196,3429581,3439126,3439127,0.000000,0.000769,1080,-22.089353,5804.310000,29661.900000,nan,270.750155
197,3439127,3448095,3448403,0.310000,0.000519,6956,-14.726873,5813.280000,29751.300000,6.959581,348.257844
198,3448403,3456974,3457931,0.950000,0.000529,6110,-15.089024,5822.160000,29839.400000,3.824678,505.313791
199,3457931,3467641,3468135,0.500000,0.000541,6384,-15.510731,5832.820000,29946.100000,5.018758,387.355889
200,3468135,3477759,3478274,0.520000,0.000537,6838,-15.442001,5842.940000,30046.800000,5.685342,379.315230
201,3478274,3487782,3488180,0.390000,0.000535,6577,-15.411672,5852.970000,30147.200000,4.397909,356.675334
202,3488180,3497595,3497777,0.180000,0.000582,3592,-16.888708,5862.780000,30245.300000,12.089534,443.291709
203,3497777,3507619,3508091,0.470000,0.000528,7049,-15.330277,5872.800000,30345.400000,4.866273,375.839463
204,3508091,3517303,3517926,0.620000,0.000565,4636,-16.506169,5882.490000,30441.900000,4.294604,386.217925
205,3517926,3527007,3527436,0.430000,0.000534,6113,-15.595235,5892.190000,30538.700000,4.508537,274.087885
206,3527436,3536196,3536454,0.260000,0.000613,2411,-18.061046,5901.380000,30630.500000,6.173929,415.158583
207,3536454,3545926,3546490,0.560000,0.000635,3173,-18.801548,5911.110000,30727.200000,5.606944,339.109216
