MaxFrictionRow,MinFrictionRow
5397826,5398200
5407213,5407461
5416167,5416500
5425065,5425454
5433693,5434224
5443253,5443524
5452187,5452399
5461037,5461450
5470790,5471150
5480023,5480515
5489050,5489474
5498155,5498689
5506570,5507012
5515837,5516295
5524450,5524851
5533252,5533841
5540065,5542553
5551464,5552025
5559595,5560056
5569010,5569447
5577470,5577992
5586613,5587025
5595059,5595727
5604420,5604896
5613681,5614145
5622811,5623341
5631834,5632437
5640427,5640879
