MaxFrictionRow,MinFrictionRow
1374097,1377020
1378458,1380778
1382980,1385071
1387884,1389947
1392036,1394573
1397361,1399898
1401598,1404311
1406535,1409013
1411943,1414845
1416403,1418772
1421985,1423847
1426466,1428424
1431147,1433012
1435661,1437455
1440141,1442115
1444341,1446701
1448238,1451068
1453272,1456996
1459153,1461011
1464268,1465861
1468638,1470616
1472904,1474841
1477259,1479470
1556306,1541693
1565735,1567681
1569010,1570785
1572888,1574683
1576760,1578695
1580907,1582701
1585739,1586682
1589288,1591693
1593719,1595448
1597914,1599699
1601724,1603677
1605770,1607696
1610756,1612680
1614735,1616696
1618755,1620695
1623520,1625692
1627736,1629824
1632016,1630695
1636299,1638698
1640143,1641688
1644984,1646689
1649784,1651008
1653956,1655829
1658757,1661698
1663235,1665682
1666729,1668948
1671168,1672943
1679844,1679954
1684652,1686469
1688343,1690755
1693075,1695197
1697608,1699912
1701889,1704200
1706280,1708214
1710788,1712503
1714838,1716697
1719394,1720987
1723379,1725568
1728239,1729891
1732654,1734524
1737038,1738685
1741642,1743416
1746215,1747834
1750729,1752399
1755493,1757228
1760025,1761717
1764807,1766861
1769654,1771315
1774135,1776246
1779021,1780488
1783472,1784825
1787661,1789441
1791900,1793174
1796713,1798123
1800068,1801895
1804974,1807988
1809341,1811852
1813799,1816218
1818646,1820629
1823243,1825085
1828186,1829883
1832888,1834443
1837402,1839154
1841811,1843280
1846647,1848088
1851596,1852913
1856261,1857809
1860948,1862438
1865545,1867504
1870459,1871829
1874810,1876378
1879389,1880866
1884229,1885652
1889090,1890578
1893878,1895320
1898715,1899979
1904061,1905398
1908978,1910429
1913880,1915457
1918807,1920197
1923872,1925129
1928670,1929809
1933501,1934767
1938643,1939790
1943147,1944623
1947969,1949392
1952861,1953990
1957739,1959115
1963152,1964372
1968156,1969492
1973189,1974430
1978122,1979343
1982902,1984340
1987869,1989055
1992971,1994093
1997855,1999270
2002955,2004102
2007662,2008906
2012311,2013638
2017641,2018737
2022871,2023991
2028223,2029451
2033218,2034516
2038304,2039442
2043386,2044625
2048493,2049657
2053516,2054695
2058234,2059477
2063280,2064398
2068629,2069793
2073651,2074948
2078571,2079691
2083566,2084874
2088856,2089936
2094378,2095556
2099344,2100922
2104405,2105671
2109166,2110215
2114577,2115863
2119662,2120929
2124986,2126133
2129847,2131065
2134323,2135683
2139023,2140700
2143769,2145049
2148052,2149695
2152860,2154034
2157343,2158586
2162162,2163370
2167061,2168494
2172010,2173007
2176994,2177956
2182398,2183358
2187722,2188724
2192851,2194096
2198003,2199122
2203131,2204319
2208434,2209515
2213923,2214980
2219090,2220200
2224422,2225416
2229677,2230626
2235185,2236343
2240638,2241788
2245878,2246973
2250890,2252109
2256156,2257493
2261946,2262929
2267069,2268074
2272202,2273329
2277199,2278340
2282352,2283290
2287899,2288979
2293503,2294477
2298433,2299678
2303893,2304810
2309749,2310506
2315447,2316357
2320586,2321690
2325552,2326746
2330710,2331824
2343364,2544684
2586561,2587870
2590267,2591773
2594570,2595818
2599692,2600530
2604895,2605770
2609208,2610365
2614143,2615151
2618943,2619950
2623580,2624753
2628253,2629164
2633741,2634670
2638569,2639694
2643291,2644256
2647916,2648966
2652647,2653572
2657477,2658740
2662030,2663088
2666960,2668184
2672006,2673015
2677095,2678385
2682172,2683351
2687269,2688384
2692307,2693514
2697257,2698315
2702374,2703367
2707570,2708619
2712638,2713716
2717667,2718496
2723117,2724481
2728287,2729302
2733802,2734813
2739237,2740036
2744950,2745699
2750137,2751176
2755220,2756314
2760022,2761293
2765157,2766363
2770739,2771501
2776539,2777398
2781840,2782748
2787417,2788275
2792674,2793566
2798210,2799132
2803869,2804877
2808841,2809921
2813881,2814843
2819259,2820235
2825049,2825933
2830630,2831621
2836094,2837268
2841277,2842282
2846603,2847633
2852057,2852936
2857466,2858494
2862584,2863800
2868497,2869344
2873717,2874708
2879299,2880374
2884450,2885556
2889609,2890556
2895026,2895923
2900460,2901415
2905761,2906751
2911111,2912153
2916628,2917438
2921653,2922784
2926722,2927682
2932341,2933300
2938051,2938883
2943490,2944416
2948521,2949563
2953718,2954816
2958722,2959757
2964320,2965217
2969902,2970605
2975413,2976336
2980906,2981686
2986434,2987477
2991835,2992707
2997611,2998701
3003049,3004200
3008236,3009317
3013409,3014330
3018794,3019682
3024187,3025071
3029471,3030664
3034601,3035582
3039866,3040864
3045583,3046591
3050957,3051956
3056096,3057303
3061577,3062638
3066876,3067857
3072408,3073339
3077841,3078730
3083073,3083917
3088474,3089326
3093686,3094857
3099034,3100147
3104371,3105541
3109261,3110364
3115139,3116027
3120434,3121443
3126091,3127126
3131576,3132518
3137048,3138017
3142018,3142907
3147309,3148164
3152659,3153708
3158096,3159167
3163585,3164457
