Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,20777,33707,1331.79,3.045966e-04,0.025161,9.994110e-01,0.000000e+00,1.922361e-07,stable
U,84629,97278,5564.68,5.213366e-04,-2.465175,9.998136e-01,0.000000e+00,2.249278e-07,stable
L,100170,115162,5424.25,5.010933e-04,-2.280262,9.999749e-01,0.000000e+00,7.784579e-08,stable
U,215674,228063,11633.94,5.293204e-04,-5.721759,9.997810e-01,0.000000e+00,2.511371e-07,slow
L,235556,249696,11452.86,5.113109e-04,-5.418718,9.999666e-01,0.000000e+00,9.249743e-08,slow
U,1351537,1468811,17689.10,5.377197e-04,-9.075240,9.992313e-01,0.000000e+00,1.525585e-07,slow
L,1525035,1662178,17529.70,5.095285e-04,-8.494045,9.994178e-01,0.000000e+00,1.220323e-07,slow
U,2940680,2987842,21858.10,5.476306e-04,-11.534389,9.986610e-01,0.000000e+00,2.058308e-07,slow
