MaxFrictionRow,MinFrictionRow
1181146,1184116
1186343,1188236
1191159,1194502
1196549,1199110
1201086,1204759
1206355,1209243
1211242,1213980
1216461,1219031
1221778,1224045
1226894,1229924
1232632,1234877
1237939,1240620
1243286,1245822
1248400,1250753
1253513,1256003
1258977,1261173
1264261,1266360
1269433,1271764
1274888,1276710
1280189,1282218
1285321,1287380
1290513,1292651
1295754,1297923
1301036,1303067
1306450,1308265
1311856,1313623
1317177,1319087
1324528,1324539
1327829,1329927
1333487,1335373
1339105,1340708
1344624,1346454
1350148,1352106
1355900,1357514
1361587,1363081
1367371,1368894
1373291,1374545
1378594,1380266
1384474,1386024
1390028,1391876
1395971,1397510
1401614,1403196
1407507,1408959
1413233,1414843
1418754,1420416
1424674,1426102
1430384,1432186
1436336,1437938
1442248,1443838
1448189,1449643
1454029,1455457
1533557,1534185
1551506,1552513
1557839,1558649
1564573,1565689
1571017,1571997
1576566,1577677
1583121,1584195
1588604,1589542
1594969,1595950
1600418,1601628
1606484,1607697
1612538,1613675
1617291,1619725
1624588,1625771
1630598,1631807
1636548,1637639
1642517,1644023
1648515,1649468
1654868,1656166
1661225,1662464
1667417,1669012
1673401,1674634
1680277,1681550
1686425,1687395
1693310,1694618
1699585,1700667
1706555,1707608
1713549,1714697
1720271,1721254
1726804,1727762
1734100,1735099
1741606,1742464
1749192,1750293
1756916,1757817
1764059,1764951
1771458,1772340
1779060,1780103
1786929,1787836
1794744,1795920
1801958,1802752
1809628,1810551
1817264,1818123
1825230,1825970
1832927,1833911
1840665,1841656
1848110,1849057
1855519,1856234
1863122,1863966
1870488,1871388
1878070,1878951
1885209,1886123
1893013,1894052
1900277,1901342
1907878,1908874
1915549,1916445
1923569,1924393
1931135,1931962
1939113,1939985
1946835,1947753
1954582,1955509
1962203,1963144
1970111,1971017
1977866,1978749
1985717,1986614
1993509,1994298
2001362,2002187
2009559,2010618
2017380,2018245
2025158,2026218
2032509,2033462
2040599,2041334
2048102,2048707
2055982,2056687
2063261,2063965
2070867,2071532
2078563,2079188
2086034,2086629
2093564,2094193
2101187,2101835
2108760,2109423
2116580,2117205
2124257,2125014
2131990,2132747
2139501,2140118
2147208,2147786
2155021,2155603
2163052,2163705
2170952,2171627
2178684,2179524
2186329,2187128
2194157,2194809
2201995,2202559
2209547,2210356
2217009,2217563
2224852,2225612
2232990,2233728
2240776,2241529
2247914,2248893
2255433,2255946
2263215,2264057
2271445,2272054
2279112,2279831
2287041,2287615
2541892,2305221
2548070,2548750
2554239,2554997
2560780,2561355
2567326,2568071
2574566,2575127
2581981,2582755
2589033,2589549
2596869,2597496
2604190,2604844
2612133,2612644
2619745,2620374
2627566,2628208
2635226,2635851
2642964,2643546
2650378,2651054
2657597,2658242
2665271,2665917
2672042,2672571
2679989,2680432
2687572,2688171
2695040,2695959
2702572,2703276
2710579,2711404
2718556,2719214
2726541,2727213
2733936,2734627
2741577,2742380
2749578,2750396
2756387,2756899
2764004,2764742
2771333,2771959
2779230,2779865
2786580,2787378
2794537,2795142
2802337,2802914
2810052,2810627
2817974,2818603
2825595,2826466
2832930,2833489
2840464,2841036
2848334,2848977
2856037,2856711
2863343,2863929
2871160,2871862
2878960,2879484
2886242,2886803
2893568,2894300
2901412,2902114
2909255,2909826
2916561,2917082
2923928,2924552
2931324,2931921
2938395,2939053
2946573,2947188
2953858,2954612
2961178,2961828
2968461,2969090
2975862,2976607
2983410,2984152
2990530,2991116
2997580,2998701
3005084,3005789
3012057,3012810
3018859,3019580
3025849,3026592
3033205,3033932
3040137,3040706
3047877,3048603
3054908,3055484
3062578,3063293
3069517,3070328
3076428,3076947
3083569,3084280
3091268,3091978
3098105,3098780
3105311,3105897
3113250,3113771
3120352,3121062
3127570,3128327
3135035,3135625
3142149,3142762
3149460,3150088
3156730,3157477
3163794,3164508
3171092,3171688
3177446,3178180
3184237,3184995
3191305,3191964
3198804,3199369
3206070,3206747
3213672,3214699
3220532,3221256
3228001,3228594
3235189,3235777
3242047,3242800
3249569,3250345
3256335,3257049
3263563,3264285
3270610,3271361
3277886,3278536
3285185,3285764
3292850,3293627
3300007,3300711
3306891,3307651
3313369,3314138
3320115,3320924
3326465,3327048
3333418,3334071
3340830,3341606
3347585,3348142
3354601,3355230
3361815,3362621
3368897,3369666
3375513,3376104
3383040,3383767
3389593,3390301
3396607,3397297
3403225,3403916
3410050,3410660
3416803,3417456
3423906,3424668
3430313,3431009
3437572,3438429
3444041,3444779
3451283,3452008
3457873,3458542
3464576,3465131
3471340,3471910
3478321,3478998
3484838,3485378
3492079,3492717
3499120,3499770
