RowNumber Stress
991406.8310 9.5439
997938.1055 9.5414
1005097.3872 9.5377
1012005.4661 9.5328
1019667.1535 9.5243
1027203.2395 9.5218
1033483.3111 9.5145
1040391.3900 9.5083
1047550.6717 9.4985
1056091.5691 9.5022
1063753.2565 9.4850
1073298.9655 9.4801
1083975.0873 9.4789
1096409.6292 9.4826
1109472.1782 9.4863
1121027.5101 9.4765
1134466.8634 9.4875
1146901.4053 9.4679
1159712.7515 9.4642
1172775.3006 9.4679
1185712.2482 9.4556
1199151.6015 9.4519
1212716.5563 9.4568
1225560.1053 9.4540
1238777.9855 9.4443
1252921.9592 9.4552
1265634.6975 9.4334
1278768.3874 9.4370
1291396.9353 9.4346
1305440.2889 9.4249
1319131.2570 9.4090
1331478.3265 9.4151
1345640.2106 9.4188
1358492.3250 9.4127
1371344.4395 9.4188
1384411.5425 9.3908
1397730.3476 9.3992
1411210.5927 9.3884
1423964.3576 9.3848
1437606.0428 9.3848
1451732.0482 9.3884
1460449.8115 9.1461
1566435.2121 9.3631
1579834.7372 9.3836
1592265.6220 9.3691
1606616.9972 9.3547
1619839.6126 9.3667
1632563.5875 9.3631
1645353.1309 9.3667
1657914.5005 9.3727
1671827.4098 9.3619
1685311.2384 9.3643
1697843.2674 9.3619
1711406.4126 9.3474
1724890.2413 9.3510
1737803.7454 9.3692
1749925.0100 9.3559
1762176.0399 9.3486
1776572.6679 9.3462
1789081.2136 9.3413
1803270.6409 9.3449
1815955.7295 9.3608
1828644.7206 9.3523
1842391.3792 9.3633
1855283.7258 9.3670
1868176.0724 9.3438
1880369.4363 9.3450
1894116.0950 9.3536
1906620.1178 9.3523
1919868.9126 9.3400
1931356.3069 9.3425
1943303.1970 9.3264
1956934.9050 9.3351
1969938.7382 9.3165
1981412.7086 9.3413
1994187.0624 9.3351
2007939.7372 9.3040
2021600.0265 9.3165
2033824.6263 9.2966
2046874.3999 9.3028
2059422.1947 9.3040
2072426.2730 9.2891
2083605.2174 9.3140
