Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
0,997442,999654,1003335,3.680000,0.000032,1656,0.390643,3128.200000,9230.830000,8.133629,11.348572
1,1003335,1006182,1010923,4.740000,0.000016,2847,0.532811,3134.730000,9295.970000,7.608699,12.045633
2,1010923,1014368,1018013,3.650000,0.000026,2760,0.442822,3142.910000,9377.710000,7.591202,11.650525
3,1018013,1021615,1025075,3.460000,0.000035,3602,0.353550,3150.160000,9450.140000,7.208425,11.396833
4,1025075,1029011,1032331,3.320000,0.000039,3935,0.308010,3157.560000,9524.000000,7.356849,12.408101
5,1032331,1035794,1039162,3.370000,0.000077,3281,-0.055624,3164.340000,9591.690000,6.894774,13.174879
6,1039162,1043165,1046172,3.010000,0.000106,3781,-0.338151,3171.710000,9665.130000,6.441364,15.374702
7,1046172,1050891,1053175,2.280000,0.000142,4182,-0.702236,3179.440000,9742.010000,6.101238,20.873150
8,1053175,1058953,1060515,1.560000,0.000204,4724,-1.317477,3187.500000,9822.500000,5.371156,63.160484
9,1060515,1068227,1069616,1.390000,0.000277,4965,-2.058162,3196.770000,9914.550000,4.406507,283.546678
10,1069616,1079298,1080831,1.540000,0.000322,4292,-2.528736,3207.840000,10024.600000,4.032404,213.482103
11,1080831,1090229,1091219,0.990000,0.000326,3217,-2.602859,3218.780000,10133.600000,3.910941,904.221327
12,1091219,1102913,1104047,1.130000,0.000356,5209,-2.951785,3231.460000,10259.100000,3.383805,1024.971709
13,1104047,1115473,1116721,1.250000,0.000381,3867,-3.252145,3244.020000,10384.200000,3.575711,1136.644363
14,1116721,1128258,1129500,1.250000,0.000393,3533,-3.422475,3256.800000,10512.000000,3.637559,1085.437931
15,1129500,1141139,1142023,0.880000,0.000378,4596,-3.311698,3269.690000,10640.200000,6.491092,1364.776046
16,1142023,1153824,1155002,1.180000,0.000374,5470,-3.318759,3282.370000,10766.900000,8.543874,1597.033635
17,1155002,1167402,1168859,1.460000,0.000395,4887,-3.594307,3295.950000,10902.500000,8.416804,1701.924502
