Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
254,3857261,3865374,3865915,0.540000,0.000589,4744,-19.346258,6502.880000,34024.100000,7.403836,248.917272
255,3865915,3874468,3875199,0.730000,0.001215,393,-40.706065,6511.970000,34114.900000,5.321584,257.531660
256,3875199,3883873,3884553,0.680000,0.000592,5309,-19.529018,6521.380000,34209.000000,7.064888,246.488821
257,3884553,3893102,3893599,0.490000,0.000582,5473,-19.270305,6530.610000,34300.800000,7.696264,246.601792
258,3893599,3901955,3902550,0.600000,0.000589,5444,-19.558866,6539.460000,34389.100000,5.630341,229.562482
259,3902550,3910223,3910755,0.530000,0.000585,4581,-19.463794,6547.730000,34471.600000,6.580160,234.740863
260,3910755,3918998,3919506,0.510000,0.000572,5692,-19.068865,6556.500000,34559.400000,7.045487,231.338900
261,3919506,3927797,3928257,0.460000,0.000568,5511,-18.977900,6565.300000,34647.100000,6.559533,242.937346
262,3928257,3936415,3936979,0.560000,0.000577,5515,-19.347296,6573.920000,34732.600000,7.257936,232.834481
263,3936979,3945322,3945875,0.550000,0.001050,644,-35.831727,6582.830000,34821.900000,5.447253,252.845207
264,3945875,3954526,3955085,0.560000,0.000589,5571,-19.853490,6592.030000,34913.900000,4.805233,238.053140
265,3955085,3963279,3963890,0.620000,0.000576,5387,-19.456684,6600.780000,35000.900000,4.549969,257.044997
266,3963890,3972329,3972971,0.650000,0.000590,5498,-19.984174,6609.830000,35091.900000,5.779417,204.726645
267,3972971,3980385,3981040,0.660000,0.000560,5385,-19.006835,6617.890000,35172.000000,5.364307,237.711825
268,3981040,3989225,3989823,0.600000,0.001135,585,-39.271066,6626.730000,35260.300000,6.043461,222.412464
269,3989823,3997543,3998304,0.760000,0.000582,4717,-19.869855,6635.050000,35343.500000,5.784529,236.114829
270,3998304,4006526,4007088,0.560000,0.000560,5782,-19.133549,6644.030000,35433.000000,6.542845,246.005714
271,4007088,4015390,4016035,0.640000,0.000569,5766,-19.510458,6652.900000,35521.500000,4.725678,227.031274
272,4016035,4023972,4024730,0.760000,0.000584,5004,-20.090885,6661.480000,35607.300000,5.467441,252.037148
273,4024730,4033352,4033984,0.630000,0.000579,5781,-19.975521,6670.860000,35700.400000,5.025595,242.220528
274,4033984,4042141,4042671,0.530000,0.000618,4848,-21.397630,6679.650000,35788.400000,5.840182,253.171171
275,4042671,4051228,4051784,0.560000,0.001229,310,-43.350013,6688.730000,35879.100000,5.712773,254.511291
276,4051784,4060095,4060719,0.620000,0.001091,567,-38.490979,6697.600000,35967.600000,5.067279,227.715548
277,4060719,4068467,4069040,0.580000,0.001094,498,-38.698317,6705.970000,36051.200000,5.290841,229.280149
278,4069040,4077176,4077755,0.580000,0.001031,765,-36.520751,6714.680000,36138.000000,5.751477,211.343626
