Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement
0,1102086,1106170,1109423,3.260000,0.000014,4084,0.539711,3471.350000,10241.600000
1,1109423,1112515,1116092,3.580000,0.000023,3092,0.446890,3477.700000,10305.100000
2,1116092,1118115,1122866,4.750000,0.000080,640,-0.144146,3483.300000,10360.800000
3,1122866,1125384,1128760,3.370000,0.000044,1806,0.224083,3490.570000,10433.400000
4,1128760,1131834,1135605,3.770000,0.000051,1953,0.146702,3497.020000,10498.100000
5,1135605,1138198,1141946,3.750000,0.000036,2111,0.301426,3503.380000,10561.400000
6,1141946,1144450,1147356,2.910000,0.000051,2212,0.148472,3509.630000,10623.800000
7,1147356,1150971,1153656,2.690000,0.000051,3615,0.134734,3516.150000,10688.900000
8,1153656,1156770,1159825,3.060000,0.000074,3072,-0.109243,3521.950000,10746.400000
9,1159825,1163386,1165907,2.520000,0.000075,3166,-0.122894,3528.570000,10812.300000
10,1165907,1169249,1171990,2.740000,0.000095,3083,-0.348468,3534.430000,10870.800000
11,1171990,1175469,1178479,3.010000,0.000108,2950,-0.494121,3540.650000,10932.700000
12,1178479,1181854,1184191,2.330000,0.000140,2579,-0.848825,3547.040000,10996.500000
13,1184191,1188253,1190863,2.610000,0.000153,3943,-1.006680,3553.440000,11060.200000
14,1190863,1195150,1196921,1.770000,0.000218,2925,-1.735331,3560.330000,11129.200000
15,1196921,1202150,1203678,1.530000,0.000238,4305,-1.981505,3567.330000,11198.900000
16,1203678,1209364,1211242,1.880000,0.000303,3743,-2.719284,3574.550000,11270.900000
17,1211242,1216851,1218638,1.790000,0.000298,4121,-2.687907,3582.030000,11345.800000
18,1218638,1224944,1226424,1.480000,0.000320,3915,-2.960350,3590.130000,11426.100000
19,1226424,1233559,1235016,1.460000,0.000363,3506,-3.481366,3598.740000,11512.200000
20,1235016,1241711,1243319,1.610000,0.000351,3781,-3.375934,3606.890000,11593.600000
21,1243319,1250508,1251895,1.390000,0.000358,3977,-3.487434,3615.690000,11681.500000
22,1251895,1259426,1261044,1.620000,0.000400,2750,-4.009860,3624.610000,11770.200000
23,1261044,1268573,1269699,1.120000,0.000375,3551,-3.748550,3633.760000,11861.600000
24,1269699,1278086,1279745,1.660000,0.000424,3067,-4.372226,3643.270000,11956.400000
25,1279745,1287191,1288051,0.860000,0.000388,3254,-3.978580,3652.370000,12047.300000
26,1288051,1297380,1299387,2.010000,0.000503,2033,-5.404788,3662.560000,12148.800000
27,1299387,1305658,1306534,0.880000,0.000340,3597,-3.460488,3670.840000,12231.800000
28,1306534,1315550,1317742,2.200000,0.000506,1819,-5.538186,3680.730000,12330.200000
29,1317742,1324861,1325824,0.970000,0.000379,4033,-4.009857,3690.040000,12423.300000
30,1325824,1335380,1336812,1.440000,0.000501,1945,-5.562356,3700.560000,12528.100000
31,1336812,1344249,1345312,1.070000,0.000419,2775,-4.588540,3709.430000,12616.700000
32,1345312,1355152,1356744,1.590000,0.000481,3554,-5.418976,3720.340000,12724.400000
33,1356744,1364831,1365692,0.870000,0.000416,3461,-4.633089,3730.010000,12820.200000
34,1365692,1376158,1377290,1.130000,0.000496,3330,-5.699803,3741.340000,12932.000000
35,1377290,1386071,1386991,0.920000,0.000490,2098,-5.672851,3751.250000,13030.900000
36,1386991,1397326,1398331,1.000000,0.000519,2963,-6.111381,3762.510000,13143.000000
37,1398331,1407274,1408109,0.830000,0.000454,4113,-5.306444,3772.460000,13242.500000
38,1408109,1419046,1419955,0.910000,0.000490,4451,-5.840518,3784.230000,13359.900000
39,1419955,1429593,1430533,0.940000,0.000577,1309,-7.049593,3794.780000,13465.200000
40,1430533,1440331,1441390,1.060000,0.000472,4366,-5.694753,3805.510000,13572.200000
41,1441390,1451220,1452356,1.140000,0.000513,3142,-6.314300,3816.400000,13680.800000
42,1452356,1461847,1462738,0.890000,0.000549,1677,-6.857373,3827.030000,13787.100000
43,1462738,1472764,1473640,0.870000,0.000562,1815,-7.099488,3837.950000,13895.800000
44,1473640,1483844,1484822,0.980000,0.000520,3114,-6.567274,3849.030000,14006.400000
45,1484822,1572582,1581515,8.930000,0.000614,1381,-7.951274,3937.770000,14173.100000
46,1581515,1590728,1591351,0.620000,0.000617,2032,-8.137256,3955.910000,14354.200000
47,1591351,1600136,1601063,0.930000,0.000632,1363,-8.422601,3965.320000,14448.000000
48,1601063,1610503,1611132,0.630000,0.000499,4616,-6.558558,3975.690000,14551.800000
49,1611132,1621103,1621676,0.570000,0.000474,6434,-6.246742,3986.290000,14657.100000
50,1621676,1631275,1631766,0.490000,0.000490,4917,-6.525574,3996.460000,14759.000000
51,1631766,1641490,1642310,0.820000,0.000518,3923,-6.986356,4006.670000,14861.000000
52,1642310,1651431,1652402,0.980000,0.000483,5235,-6.521728,4016.610000,14959.900000
53,1652402,1662424,1663181,0.750000,0.000532,3263,-7.312427,4027.610000,15069.400000
54,1663181,1673355,1674084,0.730000,0.000510,4032,-7.031792,4038.540000,15178.900000
55,1674084,1683400,1684047,0.650000,0.000499,3758,-6.911779,4048.580000,15279.000000
56,1684047,1694495,1695289,0.790000,0.000652,1442,-9.310935,4059.680000,15389.600000
57,1695289,1704436,1705051,0.610000,0.000495,3514,-6.962956,4069.620000,15489.400000
58,1705051,1715050,1715950,0.900000,0.000544,3380,-7.771835,4080.230000,15594.600000
59,1715950,1726206,1726904,0.700000,0.000566,2348,-8.173169,4091.390000,15706.300000
60,1726904,1736132,1736739,0.600000,0.000516,2574,-7.448820,4101.320000,15805.300000
61,1736739,1746968,1747714,0.750000,0.000505,4386,-7.336382,4112.150000,15913.400000
62,1747714,1757644,1758481,0.830000,0.000474,5535,-6.885334,4122.830000,16019.800000
63,1758481,1768267,1769154,0.890000,0.000661,1207,-9.933922,4133.450000,16125.800000
64,1769154,1779195,1779951,0.750000,0.000485,5177,-7.161529,4144.380000,16234.900000
65,1779951,1789841,1790484,0.650000,0.000609,1564,-9.228012,4155.020000,16341.500000
66,1790484,1800459,1801263,0.810000,0.000513,4095,-7.731446,4165.640000,16447.400000
67,1801263,1811261,1811904,0.650000,0.000579,1930,-8.874328,4176.440000,16554.900000
68,1811904,1822161,1822883,0.730000,0.000519,3679,-7.947652,4187.340000,16663.600000
69,1822883,1832667,1833455,0.790000,0.000485,5133,-7.430594,4197.850000,16768.600000
70,1833455,1843200,1844070,0.870000,0.000484,5314,-7.463132,4208.380000,16873.700000
71,1844070,1853700,1854473,0.780000,0.000512,4168,-7.988059,4218.880000,16978.600000
72,1854473,1864772,1865707,0.930000,0.000669,1330,-10.716028,4229.960000,17089.100000
73,1865707,1876354,1877141,0.780000,0.000513,4785,-8.116761,4241.540000,17204.700000
74,1877141,1886836,1887633,0.800000,0.000480,5523,-7.613212,4252.020000,17309.800000
75,1887633,1897490,1898330,0.840000,0.000501,4880,-8.017286,4262.670000,17416.000000
76,1898330,1907413,1908469,1.050000,0.000649,1054,-10.654211,4272.600000,17515.400000
77,1908469,1917520,1918235,0.720000,0.000584,1730,-9.577572,4282.700000,17615.600000
78,1918235,1927628,1928322,0.700000,0.000485,4623,-7.892608,4292.810000,17716.600000
79,1928322,1937786,1938372,0.590000,0.000504,4149,-8.271736,4302.970000,17818.100000
80,1938372,1947210,1947991,0.780000,0.000500,3834,-8.257531,4312.390000,17911.900000
81,1947991,1958718,1959478,0.760000,0.000661,1533,-11.195314,4323.900000,18026.700000
82,1959478,1968708,1969517,0.810000,0.000505,4351,-8.441840,4333.890000,18126.300000
83,1969517,1979462,1980255,0.790000,0.000498,5131,-8.367745,4344.650000,18233.700000
84,1980255,1988817,1989777,0.960000,0.000586,1447,-10.031687,4354.000000,18327.600000
85,1989777,1999654,2000374,0.720000,0.000508,4329,-8.667157,4364.840000,18433.900000
86,2000374,2009746,2010576,0.830000,0.000573,2711,-9.902853,4374.930000,18533.300000
87,2010576,2020067,2020684,0.620000,0.000531,3471,-9.184604,4385.250000,18637.200000
88,2020684,2030076,2030647,0.570000,0.000607,1513,-10.669223,4395.260000,18736.100000
89,2030647,2040719,2041454,0.740000,0.000522,5166,-9.126851,4405.900000,18842.800000
90,2041454,2050552,2051261,0.700000,0.000529,3335,-9.323335,4415.740000,18940.600000
91,2051261,2061107,2061698,0.590000,0.000714,997,-12.883491,4426.290000,19045.700000
92,2061698,2071202,2071875,0.670000,0.000499,4795,-8.850397,4436.390000,19146.600000
93,2071875,2081355,2082020,0.660000,0.000659,900,-11.965661,4446.540000,19248.000000
94,2082020,2091323,2091926,0.600000,0.000478,5911,-8.556848,4456.510000,19347.500000
95,2091926,2102064,2102850,0.780000,0.000509,5944,-9.194370,4467.250000,19454.700000
96,2102850,2112396,2113120,0.720000,0.000542,3619,-9.892327,4477.580000,19557.800000
97,2113120,2122986,2123606,0.620000,0.000583,2573,-10.752883,4488.170000,19663.600000
98,2123606,2133232,2133896,0.660000,0.000536,3556,-9.882585,4498.420000,19765.700000
99,2133896,2143207,2143799,0.590000,0.000491,5384,-9.042588,4508.390000,19865.400000
100,2143799,2153441,2154122,0.690000,0.000510,4927,-9.486408,4518.620000,19967.400000
101,2154122,2164152,2164807,0.650000,0.000718,1218,-13.691847,4529.340000,20074.300000
102,2164807,2173842,2174380,0.530000,0.000493,5106,-9.239999,4539.030000,20171.500000
103,2174380,2183760,2184353,0.600000,0.000534,3868,-10.115075,4548.940000,20270.200000
104,2184353,2193828,2194399,0.570000,0.000502,5479,-9.517283,4559.010000,20370.600000
105,2194399,2203566,2204016,0.450000,0.000550,3366,-10.559562,4568.750000,20467.900000
106,2204016,2214503,2214958,0.450000,0.000509,6018,-9.767427,4579.690000,20576.900000
107,2214958,2224745,2225352,0.610000,0.000524,4710,-10.128659,4589.930000,20679.400000
108,2225352,2235006,2235627,0.620000,0.000515,4584,-10.007570,4600.190000,20781.700000
109,2235627,2245399,2246041,0.640000,0.000498,5559,-9.707458,4610.580000,20885.300000
110,2246041,2254540,2255147,0.610000,0.000517,3945,-10.141539,4619.720000,20976.500000
111,2255147,2265242,2265627,0.380000,0.000545,3637,-10.790196,4630.430000,21083.400000
112,2265627,2275066,2275748,0.680000,0.000530,3940,-10.531538,4640.250000,21182.200000
113,2275748,2284489,2284884,0.400000,0.000491,4418,-9.747706,4649.670000,21275.600000
114,2284884,2294826,2295567,0.740000,0.000549,3709,-11.039130,4660.010000,21378.900000
115,2295567,2305519,2306076,0.560000,0.000670,1493,-13.671825,4670.700000,21485.200000
116,2306076,2315450,2316270,0.820000,0.000541,4016,-10.964624,4680.630000,21585.100000
117,2316270,2325813,2326661,0.840000,0.000702,1257,-14.500110,4691.000000,21688.100000
118,2326661,2336345,2336828,0.480000,0.000512,5107,-10.459123,4701.530000,21793.100000
119,2336828,2346295,2347135,0.840000,0.000670,1456,-13.953994,4711.480000,21892.900000
120,2347135,2357494,2357997,0.500000,0.000570,3291,-11.837792,4722.680000,22004.100000
121,2357997,2367657,2368115,0.460000,0.000523,4692,-10.860070,4732.840000,22105.500000
122,2368115,2377836,2378405,0.570000,0.000541,4009,-11.313422,4743.020000,22206.700000
123,2378405,2387878,2388515,0.640000,0.000528,3835,-11.073570,4753.060000,22307.000000
124,2388515,2716240,2558909,-157.330000,0.000601,1189,-12.742962,5081.420000,22447.700000
125,2558909,2731436,2732024,0.590000,0.000490,157426,-10.285818,5096.620000,22600.100000
126,2732024,2740683,2741234,0.550000,0.000431,6673,-9.092407,5105.870000,22691.500000
127,2741234,2750423,2750774,0.350000,0.000429,6988,-9.085504,5115.610000,22788.900000
128,2750774,2760051,2760660,0.610000,0.000443,6964,-9.448671,5125.230000,22885.400000
129,2760660,2770211,2770527,0.320000,0.000436,6909,-9.322442,5135.390000,22986.500000
130,2770527,2780590,2780904,0.320000,0.000436,7675,-9.380580,5145.770000,23090.200000
131,2780904,2790448,2790852,0.410000,0.000467,7949,-10.130658,5155.630000,23188.700000
132,2790852,2800650,2801110,0.460000,0.000499,6751,-10.925761,5165.830000,23289.800000
133,2801110,2810549,2811111,0.560000,0.000502,6262,-11.049850,5175.730000,23389.000000
134,2811111,2820014,2820391,0.370000,0.000479,6624,-10.552636,5185.200000,23483.300000
135,2820391,2829724,2830499,0.770000,0.000496,6912,-11.007954,5194.910000,23580.200000
136,2830499,2839527,2840266,0.740000,0.000507,5898,-11.298981,5204.710000,23678.100000
137,2840266,2849821,2850369,0.550000,0.000500,6410,-11.184681,5215.000000,23780.900000
138,2850369,2858830,2859614,0.790000,0.000479,6080,-10.734973,5224.010000,23870.900000
139,2859614,2868447,2869049,0.600000,0.000495,5882,-11.161405,5233.630000,23966.700000
140,2869049,2878025,2878879,0.850000,0.000508,5740,-11.532980,5243.210000,24062.000000
141,2878879,2888485,2888947,0.460000,0.000484,7445,-10.999404,5253.670000,24166.800000
142,2888947,2898183,2898898,0.710000,0.000527,4893,-12.082515,5263.370000,24263.500000
143,2898898,2908191,2908579,0.390000,0.000522,4843,-12.023263,5273.370000,24363.100000
144,2908579,2918636,2919143,0.510000,0.000536,5497,-12.403212,5283.820000,24467.700000
145,2919143,2928829,2929423,0.600000,0.000511,6517,-11.843384,5294.010000,24569.400000
146,2929423,2938834,2939343,0.510000,0.000511,6239,-11.905819,5304.020000,24668.000000
147,2939343,2949038,2949893,0.860000,0.000508,6798,-11.894345,5314.220000,24770.200000
148,2949893,2959138,2960140,1.000000,0.000490,6843,-11.482752,5324.320000,24870.600000
149,2960140,2969064,2969705,0.640000,0.000500,6177,-11.782157,5334.250000,24970.300000
150,2969705,2979081,2979462,0.390000,0.000540,4856,-12.842671,5344.260000,25070.200000
151,2979462,2988661,2989293,0.640000,0.000528,5030,-12.597547,5353.840000,25165.400000
152,2989293,2999284,2999738,0.450000,0.000528,5406,-12.638124,5364.470000,25271.200000
153,2999738,3008500,3009148,0.650000,0.000531,5103,-12.758102,5373.680000,25363.500000
154,3009148,3018143,3018647,0.500000,0.000531,5576,-12.813310,5383.330000,25459.900000
155,3018647,3028131,3028541,0.410000,0.000520,5910,-12.597464,5393.310000,25559.600000
156,3028541,3037312,3037703,0.390000,0.000503,5594,-12.204315,5402.500000,25651.000000
157,3037703,3047327,3047887,0.560000,0.000535,5111,-13.074322,5412.510000,25751.300000
158,3047887,3057016,3057555,0.540000,0.000601,2562,-14.815071,5422.200000,25848.200000
159,3057555,3067673,3068086,0.410000,0.000570,4453,-14.090394,5432.860000,25953.900000
160,3068086,3077260,3077950,0.690000,0.000540,4761,-13.355817,5442.440000,26050.000000
161,3077950,3087372,3087789,0.410000,0.000528,5825,-13.115691,5452.560000,26150.800000
