Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement
0,1119711,1122733,1124962,2.230000,0.000042,2894,0.252590,3742.410000,10299.200000
1,1124962,1127702,1130204,2.500000,0.000060,2475,0.060734,3747.380000,10348.800000
2,1130204,1133915,1136442,2.530000,0.000043,3443,0.240067,3753.590000,10410.900000
3,1136442,1139365,1142122,2.760000,0.000095,2226,-0.315432,3759.040000,10465.300000
4,1142122,1145363,1147783,2.420000,0.000091,2647,-0.271082,3765.040000,10525.200000
5,1147783,1150760,1153219,2.460000,0.000131,2977,-0.703584,3770.440000,10579.000000
6,1153219,1156088,1158712,2.630000,0.000138,2465,-0.784289,3775.760000,10632.100000
7,1158712,1161557,1164450,2.900000,0.000125,2845,-0.652325,3781.230000,10686.700000
8,1164450,1167705,1170028,2.320000,0.000120,3143,-0.601756,3787.380000,10747.900000
9,1170028,1173305,1175396,2.090000,0.000194,2936,-1.411339,3792.980000,10803.900000
10,1175396,1179086,1180912,1.830000,0.000204,3290,-1.533179,3798.760000,10861.500000
11,1180912,1185035,1186776,1.740000,0.000243,3508,-1.966405,3804.710000,10920.700000
12,1186776,1191048,1192902,1.860000,0.000285,3459,-2.446219,3810.720000,10980.700000
13,1192902,1197543,1199207,1.660000,0.000296,3797,-2.582336,3817.220000,11045.200000
14,1199207,1203973,1205929,1.960000,0.000329,3929,-2.968298,3823.650000,11109.400000
15,1205929,1210362,1212003,1.640000,0.000311,3804,-2.790495,3830.040000,11173.300000
16,1212003,1217227,1218713,1.490000,0.000346,4380,-3.205583,3836.900000,11241.600000
17,1218713,1223938,1225634,1.700000,0.000328,4762,-3.025495,3843.610000,11308.600000
18,1225634,1228443,1232238,3.790000,0.000323,2809,-2.981578,3848.120000,11353.900000
19,1232238,1237657,1239078,1.420000,0.000357,4602,-3.394510,3857.330000,11445.500000
20,1239078,1244871,1246379,1.510000,0.000358,4877,-3.430347,3864.550000,11517.400000
21,1246379,1251681,1253104,1.420000,0.000352,4493,-3.384893,3871.360000,11585.400000
22,1253104,1259044,1260402,1.360000,0.000366,4982,-3.574087,3878.720000,11658.800000
23,1260402,1266541,1268039,1.500000,0.000373,4653,-3.685142,3886.220000,11733.600000
24,1268039,1273957,1275404,1.450000,0.000366,5122,-3.631497,3893.630000,11807.600000
25,1275404,1281126,1282252,1.130000,0.000386,4576,-3.897569,3900.800000,11879.200000
26,1282252,1288647,1289883,1.240000,0.000382,5110,-3.874284,3908.320000,11954.200000
27,1289883,1295908,1297155,1.250000,0.000397,4414,-4.085891,3915.580000,12026.600000
28,1297155,1303640,1305031,1.390000,0.000385,5025,-3.964326,3923.320000,12103.900000
29,1305031,1311367,1312512,1.150000,0.000374,5313,-3.859075,3931.040000,12181.000000
30,1312512,1319655,1320878,1.220000,0.000396,5597,-4.157719,3939.330000,12263.600000
31,1320878,1327717,1328988,1.270000,0.000391,5555,-4.127730,3947.390000,12344.100000
32,1328988,1335530,1336591,1.060000,0.000401,4962,-4.293579,3955.210000,12422.200000
33,1336591,1343611,1344768,1.150000,0.000400,5358,-4.306718,3963.290000,12502.800000
34,1344768,1351380,1352550,1.170000,0.000416,4663,-4.536192,3971.060000,12580.400000
35,1352550,1359374,1360398,1.020000,0.000387,5604,-4.201155,3979.050000,12660.200000
36,1360398,1367907,1369098,1.190000,0.000407,5732,-4.494290,3987.580000,12745.200000
37,1369098,1376011,1377138,1.120000,0.000411,5056,-4.581662,3995.690000,12826.000000
