MaxFrictionRow,MinFrictionRow
4965882,4966258
4973904,4974226
4981854,4982465
4989951,4990348
4997346,4997847
5004823,5005315
5009823,5013360
5021010,5021329
5028836,5029229
5036955,5037264
5044602,5045208
5052954,5053240
5061255,5061576
5068719,5069330
5076886,5077208
5084854,5085208
5092805,5093142
5100868,5101225
5109208,5109632
5116372,5116740
5124957,5125062
5132256,5132952
5140144,5140703
5147708,5148276
5155106,5155810
5162336,5163064
5169902,5170544
5177699,5178390
5185811,5186448
5193922,5194431
5201717,5202261
5209874,5210381
5217815,5218394
5225916,5226585
5233946,5234642
5241619,5242270
5249675,5250396
5257540,5257901
5265317,5265675
5272965,5273311
5280620,5281191
5287769,5287935
5295249,5295689
5302650,5303038
5310513,5310908
5318587,5318974
5326090,5326402
5333860,5334207
5341613,5342012
5348914,5349352
5356664,5357099
5364628,5365079
5372361,5372804
5380093,5380579
5387777,5388181
5395750,5396098
5403340,5403774
5411157,5411423
5418327,5418941
5425929,5426370
5433811,5434097
5441029,5441384
5448362,5448738
5455848,5456215
5463564,5463895
5471343,5471721
5479065,5479374
5486924,5487193
5494864,5495162
5502702,5503046
5510110,5510483
5517896,5518256
5525857,5526223
5533807,5534125
5541265,5541756
5548335,5548953
5556038,5556482
5563875,5564201
5571263,5571611
5578673,5579000
5586504,5586855
5594204,5594641
5602175,5602459
5609686,5609982
5617371,5617659
5625304,5625543
5632776,5633070
5640200,5640450
5647983,5648226
5655726,5655985
5663343,5663567
5671023,5671368
5678736,5678955
