Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement
298,3584770,3591304,3591891,0.590000,0.000553,5387,-17.098381,5632.750000,32188.700000
299,3591891,3598584,3599130,0.540000,0.000583,5188,-18.113342,5640.030000,32261.400000
300,3599130,3605933,3606565,0.630000,0.000590,5294,-18.388077,5647.380000,32335.000000
301,3606565,3612845,3613413,0.570000,0.000555,5209,-17.267695,5654.290000,32403.900000
302,3613413,3619882,3620504,0.620000,0.000578,5098,-18.064690,5661.330000,32474.100000
303,3620504,3626549,3627239,0.690000,0.000549,5022,-17.179068,5667.990000,32540.500000
304,3627239,3633482,3634037,0.550000,0.000565,5181,-17.711800,5674.930000,32609.300000
305,3634037,3640703,3641320,0.610000,0.000585,5254,-18.407911,5682.150000,32681.200000
306,3641320,3648166,3648879,0.710000,0.000592,5133,-18.682068,5689.610000,32756.000000
307,3648879,3655081,3655607,0.520000,0.000575,4840,-18.176379,5696.530000,32825.000000
308,3655607,3662215,3662789,0.570000,0.000588,5126,-18.623480,5703.660000,32896.000000
309,3662789,3669097,3669682,0.590000,0.000571,5163,-18.120270,5710.540000,32964.700000
310,3669682,3676058,3676913,0.860000,0.000572,5385,-18.204736,5717.500000,33035.200000
311,3676913,3682833,3683331,0.500000,0.000566,4638,-18.018764,5724.280000,33102.900000
312,3683331,3689574,3690194,0.620000,0.000574,5210,-18.320490,5731.020000,33169.200000
313,3690194,3697007,3697517,0.510000,0.000572,5551,-18.311602,5738.450000,33243.100000
314,3697517,3704069,3704666,0.600000,0.000592,5069,-19.006692,5745.510000,33314.600000
315,3704666,3711108,3711686,0.580000,0.000581,5378,-18.688310,5752.550000,33384.000000
316,3711686,3718014,3718646,0.630000,0.000572,5314,-18.420476,5759.460000,33452.900000
317,3718646,3724510,3725090,0.580000,0.000550,4911,-17.723323,5765.950000,33517.800000
318,3725090,3731527,3732174,0.650000,0.000572,5166,-18.493577,5772.970000,33587.700000
319,3732174,3738209,3738838,0.630000,0.000554,5059,-17.953972,5779.650000,33654.400000
320,3738838,3745065,3745653,0.590000,0.000569,4782,-18.478911,5786.510000,33723.000000
321,3745653,3751853,3752400,0.540000,0.000568,4966,-18.492808,5793.300000,33790.600000
322,3752400,3759068,3759567,0.500000,0.000592,5073,-19.338035,5800.510000,33862.600000
323,3759567,3766889,3766954,0.070000,0.000585,5410,-19.153872,5808.330000,33940.400000
324,3766954,3772743,3773282,0.540000,0.002055,1075,-69.110549,5814.190000,33999.200000
325,3773282,3779713,3780291,0.580000,0.000708,4519,-23.396952,5821.160000,34068.600000
326,3780291,3786982,3787506,0.520000,0.000740,4237,-24.545574,5828.430000,34141.200000
327,3787506,3794099,3794617,0.520000,0.000737,4040,-24.490691,5835.540000,34212.000000
328,3794617,3801450,3802035,0.590000,0.000771,3570,-25.724662,5842.890000,34285.600000
329,3802035,3808623,3809227,0.600000,0.000746,3907,-24.911312,5850.070000,34357.000000
