Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement
0,1136685,1140361,1143719,3.360000,0.000033,3676,0.366826,6805.170000,9631.760000
1,1143719,1146646,1150127,3.490000,0.000035,2927,0.348386,6811.450000,9693.870000
2,1150127,1153668,1156615,2.940000,0.000036,3541,0.334934,6818.480000,9763.350000
3,1156615,1159430,1163395,3.960000,0.000044,2815,0.258442,6824.240000,9820.370000
4,1163395,1166824,1169563,2.740000,0.000049,2584,0.208550,6831.630000,9892.880000
5,1169563,1172768,1176493,3.720000,0.000049,3205,0.203631,6837.580000,9951.970000
6,1176493,1179041,1182631,3.590000,0.000076,1973,-0.073799,6843.850000,10014.600000
7,1182631,1185792,1188364,2.570000,0.000068,3161,-0.002385,6850.600000,10081.000000
8,1188364,1191708,1195118,3.410000,0.000079,3344,-0.109308,6856.520000,10140.000000
9,1195118,1198028,1201135,3.100000,0.000109,2910,-0.425431,6862.840000,10203.000000
10,1201135,1205029,1207647,2.620000,0.000114,3278,-0.482891,6869.840000,10272.900000
11,1207647,1211359,1213759,2.400000,0.000135,3362,-0.708822,6876.170000,10336.100000
12,1213759,1217649,1220328,2.680000,0.000152,3258,-0.890923,6882.460000,10398.400000
13,1220328,1224654,1226961,2.310000,0.000152,4326,-0.904879,6889.460000,10466.800000
14,1226961,1231529,1233550,2.020000,0.000213,3699,-1.554360,6896.340000,10534.700000
15,1233550,1238529,1240474,1.940000,0.000244,4451,-1.892038,6903.340000,10603.800000
16,1240474,1246277,1247790,1.510000,0.000285,4582,-2.351026,6911.090000,10681.100000
17,1247790,1254558,1256199,1.640000,0.000319,4142,-2.736739,6919.370000,10763.700000
18,1256199,1262941,1264104,1.160000,0.000312,4388,-2.692208,6927.750000,10847.500000
19,1264104,1271401,1272869,1.470000,0.000349,3895,-3.114067,6936.210000,10931.900000
20,1272869,1280909,1282352,1.440000,0.000356,4211,-3.221300,6945.720000,11026.800000
21,1282352,1289679,1290854,1.170000,0.000330,4950,-2.974964,6954.490000,11114.300000
22,1290854,1299614,1300836,1.220000,0.000384,4191,-3.603090,6964.420000,11213.400000
23,1300836,1309418,1310372,0.950000,0.000378,3633,-3.573222,6974.230000,11311.300000
24,1310372,1319562,1320652,1.090000,0.000391,4747,-3.753552,6984.370000,11411.600000
25,1320652,1330033,1331050,1.020000,0.000458,1844,-4.564986,6994.840000,11515.300000
26,1331050,1340851,1341698,0.850000,0.000428,3233,-4.261435,7005.660000,11623.400000
27,1341698,1350758,1351626,0.860000,0.000410,3278,-4.101082,7015.570000,11722.100000
28,1351626,1361296,1362106,0.810000,0.000425,3720,-4.319592,7026.100000,11827.300000
29,1362106,1372028,1373052,1.020000,0.000429,3711,-4.411543,7036.840000,11934.300000
30,1373052,1382830,1383778,0.950000,0.000444,3123,-4.632673,7047.640000,12042.300000
31,1383778,1393178,1394131,0.950000,0.000423,3707,-4.428515,7057.990000,12145.600000
32,1394131,1404111,1405269,1.160000,0.000448,3381,-4.782239,7068.920000,12254.700000
33,1405269,1414731,1415937,1.210000,0.000468,2420,-5.071081,7079.540000,12360.600000
34,1415937,1426208,1427245,1.030000,0.000490,2121,-5.394789,7091.020000,12475.100000
35,1427245,1437663,1438555,0.890000,0.000469,2892,-5.193615,7102.470000,12588.300000
36,1438555,1448197,1449445,1.240000,0.000495,1983,-5.568595,7113.010000,12692.500000
37,1449445,1459602,1460656,1.050000,0.000473,2747,-5.351185,7124.410000,12806.500000
38,1460656,1470381,1471241,0.860000,0.000426,5410,-4.796998,7135.190000,12916.700000
39,1471241,1480929,1482049,1.120000,0.000437,4262,-4.978930,7145.740000,13022.100000
40,1482049,1491879,1493013,1.130000,0.000404,6092,-4.605114,7156.690000,13130.900000
41,1493013,1502120,1502902,0.780000,0.000399,5514,-4.579540,7166.930000,13232.200000
42,1502902,1585956,1514250,-71.700000,0.000409,6332,-4.751557,7250.760000,13493.300000
43,1514250,1595434,1596255,0.820000,0.000517,1537,-6.234279,7260.240000,13587.400000
44,1596255,1605181,1605910,0.730000,0.000428,4952,-5.154197,7269.990000,13684.800000
45,1605910,1615767,1616477,0.710000,0.000448,5111,-5.474688,7280.580000,13790.300000
46,1616477,1626296,1627029,0.740000,0.000439,5363,-5.391865,7291.100000,13895.700000
